dataset,missing_rate,target_modality,distance_bucket,head_count,err_pre_mean,err_decay_mean,err_post_mean,decay_damage_mean,write_damage_mean,cos_pre_mean,cos_decay_mean,cos_post_mean,norm_ratio_pre_mean,norm_ratio_decay_mean,norm_ratio_post_mean,decay_damage_median,write_damage_median
CMUMOSI,0.5,audio,1,1264,0.0007656141011621808,0.021557913343068447,0.22412252706059999,0.020792299242030028,0.20256461339186335,0.9999995972914032,0.9999995960653583,0.9549928943308282,0.9996673621803145,0.9784599050785168,1.007243282715731,0.02086638007313013,0.09451096877455711
CMUMOSI,0.5,audio,2-3,864,0.24513597571812742,0.24897267285268754,0.302758181834145,0.0038366971356380316,0.05378550919704139,0.9512089313076878,0.9512089316698688,0.9366799566584328,1.0043451995761306,0.9830371270439139,0.9904700971587941,0.004528246819972992,0.008540723472833633
CMUMOSI,0.5,audio,4-7,136,0.3782119185335058,0.3799946486182949,0.3925022898680147,0.0017827300847891498,0.012507641633205554,0.903622482848518,0.9036224913947722,0.9002152882954654,0.9797220891889404,0.9589344837209758,0.9621414524667403,0.002092815935611725,0.002139504998922348
CMUMOSI,0.5,text,1,1304,0.0017584780690173098,0.022389446059527574,0.1556415547548216,0.020630968000419848,0.13325210897383377,0.9999990948230211,0.9999990984797478,0.9788508331346,0.9988388379841494,0.9776489800927829,0.936680065479381,0.020637724548578262,0.07757234945893288
CMUMOSI,0.5,text,2-3,904,0.20419779624707535,0.2127832414096106,0.25504413926644265,0.008585445162535241,0.04226089791452463,0.9654361956085251,0.9654362005371172,0.9537934589867307,0.921166020948275,0.9016294535414308,0.8977340960265261,0.01033809781074524,0.00971975177526474
CMUMOSI,0.5,text,4-7,272,0.3021551248042242,0.3106182595057523,0.3057606700972161,0.008463134701528093,-0.004857589408536167,0.939142886275316,0.9391428895075532,0.9415571948184687,0.8628640676684239,0.8445682214463458,0.8353288079447606,0.011356137692928314,0.0038479939103126526
CMUMOSI,0.5,text,8+,8,0.403396375477314,0.4132913388311863,0.4103195443749428,0.0098949633538723,-0.002971794456243515,0.9177067577838898,0.917706735432148,0.9138664789497852,0.7184611335396767,0.7032275721430779,0.7148924022912979,0.011738255620002747,-0.006555691361427307
CMUMOSI,0.5,visual,1,1328,0.0009619018021375411,0.021663881662997406,0.20727543561882059,0.020701979871850507,0.18561155387026493,0.9999995346528938,0.9999995343387127,0.9597921326801361,0.9995618094521833,0.9783565824828953,0.993118471050837,0.020803967490792274,0.09622707590460777
CMUMOSI,0.5,visual,2-3,824,0.2150436316919739,0.22068599508894446,0.2793800112343782,0.005642363396970537,0.058694016303668176,0.9591599597021467,0.9591599577671658,0.9426936480359093,0.9861017114763121,0.9651802486007653,0.9754943344199541,0.005570068955421448,0.0033941492438316345
CMUMOSI,0.5,visual,4-7,256,0.34746818551502656,0.3495124386390671,0.3641469403519295,0.0020442531240405515,0.014634501480031759,0.9242284874198958,0.9242284919600934,0.9150223156902939,0.968052949057892,0.947512315120548,0.957890740595758,0.003276929259300232,0.002600632607936859
