dataset,seed,rate,sample_id,modality,anchor_time,start_time,end_time,gap_length,distance_bucket,boundary,cumulative_write,cumulative_decay,error_start,error_end,error_change,write_per_step,decay_per_step,overlap_mean,overlap_max,overlap_sum,overlap_steps,closure_error,continuity_error,head_count
IEMOCAPFour,66,0.1,seed66:Ses05F_impro07,visual,0,1,1,1,1,observed_or_end_unresolved,0.579887118190527,0.019650639733299613,0.0024751325545366853,0.6020128838717937,0.5995377513172571,0.579887118190527,0.019650639733299613,0.42756527103483677,0.6418687701225281,0.42756527103483677,1,4.7730281949043274e-08,0.0,8
IEMOCAPFour,66,0.1,seed66:Ses05F_impro03,text,0,1,1,1,1,observed_or_end_unresolved,0.31022001150995493,0.019749252824112773,0.002617412741528824,0.3325866749510169,0.3299692622094881,0.31022001150995493,0.019749252824112773,0.3519343063235283,0.6104433536529541,0.3519343063235283,1,1.955777406692505e-08,0.0,8
IEMOCAPFour,66,0.1,seed66:Ses05M_script02_1,audio,0,1,1,1,1,observed_or_end_unresolved,0.7942485511302948,0.019797883462160826,0.0021940137667115778,0.8162404522299767,0.8140464384632651,0.7942485511302948,0.019797883462160826,0.46967605873942375,0.615068793296814,0.46967605873942375,1,3.702007234096527e-08,0.0,8
IEMOCAPFour,66,0.1,seed66:Ses05F_script01_2,text,0,1,1,1,1,observed_or_end_unresolved,0.431367015466094,0.019693759735673666,0.0023701823374722153,0.4534309599548578,0.4510607776173856,0.431367015466094,0.019693759735673666,0.3710224498063326,0.6231748461723328,0.3710224498063326,1,3.771856427192688e-08,0.0,8
IEMOCAPFour,66,0.1,seed66:Ses05F_impro08,text,0,1,1,1,1,observed_or_end_unresolved,0.5215538023039699,0.019452232168987393,0.0035155221121385694,0.5445215487852693,0.5410060266731307,0.5215538023039699,0.019452232168987393,0.4269615653902292,0.546422004699707,0.4269615653902292,1,2.3981556296348572e-08,0.0,8
IEMOCAPFour,66,0.1,seed66:Ses05F_script02_1,visual,0,1,1,1,1,observed_or_end_unresolved,0.17201749118976295,0.01982158748432994,0.0021244468371151015,0.1939635262824595,0.1918390794453444,0.17201749118976295,0.01982158748432994,0.205746759660542,0.31928351521492004,0.205746759660542,1,7.450580596923828e-09,0.0,8
IEMOCAPFour,66,0.1,seed66:Ses05M_impro03,audio,0,1,2,2,2-3,observed_or_end_unresolved,0.5053019355982542,0.01742700790055096,0.002179184288252145,0.524908134713769,0.5227289504255168,0.2526509677991271,0.00871350395027548,0.32145292847417295,0.643657922744751,0.6429058569483459,2,2.7241185307502747e-08,0.0,8
IEMOCAPFour,66,0.1,seed66:Ses05M_impro01,text,0,1,1,1,1,observed_or_end_unresolved,0.589765764772892,0.019576606806367636,0.00305364525411278,0.6123960129916668,0.609342367737554,0.589765764772892,0.019576606806367636,0.43389925733208656,0.5390303730964661,0.43389925733208656,1,2.9103830456733704e-08,0.0,8
IEMOCAPFour,66,0.1,seed66:Ses05F_script01_1,text,0,1,1,1,1,observed_or_end_unresolved,0.4066022406332195,0.01954153459519148,0.003161586355417967,0.4293053646106273,0.4261437782552093,0.4066022406332195,0.01954153459519148,0.3228737725876272,0.5035574436187744,0.3228737725876272,1,1.7462298274040222e-08,0.0,8
IEMOCAPFour,66,0.1,seed66:Ses05M_impro05,audio,0,1,1,1,1,observed_or_end_unresolved,0.8255979586392641,0.019807416014373302,0.0021286362025421113,0.847534004598856,0.8454053683963139,0.8255979586392641,0.019807416014373302,0.4434903524816036,0.6447291374206543,0.4434903524816036,1,5.3783878684043884e-08,0.0,8
