dataset,seed,rate,gaps,cumulative_write_pearson,cumulative_write_spearman,cumulative_decay_pearson,cumulative_decay_spearman,error_change_pearson,error_change_spearman,write_per_step_pearson,write_per_step_spearman,eligible_conversations,positive_conversations,conversation_mean_spearman
IEMOCAPFour,66,0.1,332,0.1809917236046861,0.15822887528745008,0.08115206581778409,0.014196439863289393,0.1825690750218645,0.16508173492182585,-0.2566012341672859,-0.2924890794046453,22,19,0.2301342546605325
IEMOCAPFour,66,0.3,784,0.33543437975360063,0.3076232727994055,0.15243455890865462,0.17394743017066008,0.3411961270098273,0.3149946298096854,-0.3069872336216923,-0.32106334908481776,29,28,0.3279046246487659
IEMOCAPFour,66,0.5,925,0.4402016417025916,0.4520479193297752,0.2754691397226975,0.3141112919135025,0.45406666282161906,0.47025654437851616,-0.3694795863953446,-0.40603156001958574,31,31,0.48087682509615737
IEMOCAPFour,66,0.7,866,0.5783309518641017,0.597105824341543,0.3283641331275493,0.3557429046745304,0.5976487292181644,0.6218998176227217,-0.4558002148330846,-0.5133398356095291,31,30,0.5930345543391565
IEMOCAPFour,67,0.1,301,0.26761213894237385,0.20489374717006217,-0.08127792952073931,-0.06388964418817145,0.26732385301998424,0.20578787422360437,-0.20438294688791475,-0.22445344306201356,18,14,0.2792452338522623
IEMOCAPFour,67,0.3,739,0.40819536525733086,0.36835181645329296,0.26530940993313173,0.21320414029624468,0.41549630374005253,0.3779745180780923,-0.3521023998181207,-0.38848036532576974,31,28,0.3441540715692583
IEMOCAPFour,67,0.5,911,0.5265297328314515,0.5056854462686227,0.3438533265303738,0.30149637018413455,0.5405495485822575,0.5209679979653072,-0.43484036071957033,-0.49067064998667975,31,31,0.47344354860542076
IEMOCAPFour,67,0.7,903,0.5847614174392047,0.5908769113442222,0.3203366729085752,0.41254237647986386,0.6018173696502436,0.6129670819199857,-0.5130316949523974,-0.6272110878852045,31,31,0.562520806134775
IEMOCAPFour,68,0.1,342,0.21571688830042346,0.18490013205731795,-0.0510439812519094,0.022507980937545177,0.2156866586997126,0.18764338447160311,-0.22100125680216212,-0.24346538800351317,18,14,0.22315613384965116
IEMOCAPFour,68,0.3,713,0.4071612007481376,0.3601612092795957,0.0900969120878237,0.17002459443340734,0.41115240101338385,0.3686961378092515,-0.3462270547629564,-0.39094930079642687,30,29,0.3936439970957001
IEMOCAPFour,68,0.5,909,0.5081985507709993,0.5031395979919109,0.3200702041055891,0.4559065436026394,0.5224675975326315,0.52307190379001,-0.41372979802727805,-0.47622691939208633,31,30,0.5317709352776356
IEMOCAPFour,68,0.7,889,0.5928012405747565,0.6068399649326738,0.43422614257998193,0.48762662074728297,0.6136749845891694,0.6302917590981878,-0.4603388682424407,-0.5529572236560791,31,31,0.5841588639079817
IEMOCAPFour,69,0.1,326,0.22048580892898195,0.20876712083297866,-0.04982835696981191,0.05649376972438841,0.2202154483583161,0.21144191923533082,-0.21895035800758877,-0.2548038665828506,20,13,0.1357785902731364
IEMOCAPFour,69,0.3,752,0.3694440354797344,0.38830311644447196,0.19748755966253437,0.1285902706316103,0.3758929484331296,0.39646720961742327,-0.32985921487292574,-0.3384090443387474,30,28,0.38429280889947803
IEMOCAPFour,69,0.5,895,0.4195703708949983,0.47167631265048726,0.39268375628099983,0.41963420636730414,0.4372772758608008,0.49211036186234935,-0.400951486018269,-0.4335326321880057,31,30,0.46729679659225953
IEMOCAPFour,69,0.7,871,0.5759060063837678,0.6092975022687739,0.4403909294161031,0.47911661877883416,0.599056966770511,0.634143942248069,-0.49708714006507837,-0.5693963838935946,31,29,0.5415778992020555
IEMOCAPFour,70,0.1,336,0.22849654373060574,0.21270424842361432,0.1641292231288277,0.1786005368636645,0.23172975698511,0.21950645206161823,-0.2653092565989643,-0.2758386406517082,22,16,0.24305506730437879
IEMOCAPFour,70,0.3,737,0.4787308015250779,0.44712430921641044,0.10300011935233652,0.1831406686096094,0.48243776291852375,0.45560433313671933,-0.3102927021600846,-0.33941040683220514,29,29,0.4686809866712911
IEMOCAPFour,70,0.5,908,0.5575005197445715,0.5243153294480227,0.25396859596281823,0.38266719652978826,0.5686627707971694,0.5406710308641522,-0.40863892501906424,-0.46116700110339937,31,31,0.5313618138202872
IEMOCAPFour,70,0.7,896,0.6237526100757849,0.6561424779221185,0.3300950762916438,0.435616208197885,0.6413427796172497,0.6783334138818251,-0.47887915514266843,-0.5550363965104715,31,30,0.6225242801091243
CMUMOSI,66,0.1,185,0.09329183779549553,0.13648830344403398,0.710364713817557,0.3080720555952501,0.11601791708967395,0.17725650786897185,-0.13205947438700885,-0.10890610453192387,12,8,0.3556671277740174
CMUMOSI,66,0.3,398,0.057908664343113744,0.13894530566765884,0.7984803464458846,0.5451558412243951,0.10059017906152416,0.21232801628174136,-0.20626706178944873,-0.1802921609778594,31,22,0.16519194158760758
CMUMOSI,66,0.5,497,0.21819336184945468,0.260862152112123,0.704296988697879,0.6719652012014586,0.2819870315716369,0.3532806833347672,-0.24676777961307314,-0.24454812798970257,31,24,0.2606682540777592
CMUMOSI,66,0.7,463,0.3242206927255099,0.38896020506539825,0.6952546087727743,0.732166544055783,0.4096189906262299,0.49238447370793575,-0.2597518565940908,-0.23894349691146397,31,29,0.39662036674518214
CMUMOSI,67,0.1,181,0.052515848643842455,0.017289746725083883,0.822836072049807,0.42115644426616106,0.08217627645713489,0.09492126178710003,-0.15005228897774045,-0.18073964998174483,14,8,0.07809399499847633
CMUMOSI,67,0.3,418,0.12982009660158406,0.2470989551663585,0.7895369299762853,0.6525611961220001,0.19113572199566692,0.33680324876863843,-0.1918028211407473,-0.14620374636872485,31,24,0.19947521858994238
CMUMOSI,67,0.5,503,0.1372944123567071,0.24632958499765925,0.8278895512380435,0.7632923360267557,0.23195432580998734,0.36654789882303984,-0.27918282838903835,-0.2566950869242249,31,25,0.22550921801973772
CMUMOSI,67,0.7,463,0.25332221334693805,0.30031364065269256,0.8425565048996317,0.8072575864433833,0.39675679635617445,0.45631364472825126,-0.30787561404124525,-0.3675558135660603,31,29,0.27887568805700097
CMUMOSI,68,0.1,174,0.01686460736112318,0.05100881421668965,0.8050401291135704,0.4970793488199977,0.038435133587892543,0.09597488729061833,-0.15957305794127746,-0.1945197944328816,14,5,-0.08335368277231035
CMUMOSI,68,0.3,405,0.13836685849927804,0.2113152873329577,0.7100120616850696,0.6268954408488032,0.17302941623593776,0.2827447530143734,-0.18593977705315104,-0.15193600360062703,31,26,0.24817901217373342
CMUMOSI,68,0.5,511,0.220438668882762,0.28720989426934723,0.7779112552092106,0.6800701442610146,0.2837647133929158,0.37106824855155995,-0.20594560101592027,-0.1375538207892657,31,28,0.2996515985639458
CMUMOSI,68,0.7,469,0.19159397402512973,0.2831731332076644,0.7927777083498275,0.733088551270964,0.3023787472528912,0.41633324297314295,-0.27577413952980867,-0.3089359441842377,31,27,0.32438562849753194
CMUMOSI,69,0.1,170,0.07837945620647568,0.08952216604405527,0.7332962402848643,0.3389034269438584,0.10385738407167394,0.14221618707582953,-0.1620203958696754,-0.1860764602872266,12,7,0.05930113789202765
CMUMOSI,69,0.3,389,0.16194533273526787,0.2678395027682872,0.7406214835699528,0.4837181900378118,0.20841052873285681,0.3235542036204158,-0.20832542472401727,-0.1736170059510809,31,24,0.2517177184200255
CMUMOSI,69,0.5,499,0.2697498462974714,0.29641518892409274,0.6276925546737258,0.6464093815122445,0.32519181498671923,0.37020392056201334,-0.29009576818116084,-0.2805597572392819,31,28,0.34232902071300686
CMUMOSI,69,0.7,480,0.400407061179285,0.4300803682829314,0.6686743644948143,0.595930387162131,0.4716832575031447,0.4999896893808161,-0.293571944439255,-0.24232456032465127,31,31,0.47780103642354754
CMUMOSI,70,0.1,182,-0.003487096902632679,-0.04886108048400821,0.6822179522596293,0.39753735220156927,0.007323359069198165,-0.020950356975779565,-0.18984290688166333,-0.27509030713321136,12,5,0.019550018615883718
CMUMOSI,70,0.3,404,0.2753639867943546,0.323805902485809,0.2835980935981476,0.2594015842235001,0.28701529847204144,0.35274398554090514,-0.16008777285598677,-0.0837612243435162,30,28,0.36480471060111047
CMUMOSI,70,0.5,487,0.24837713395362782,0.33513517950636734,0.5995152227637783,0.47843696720881806,0.28843793852771626,0.3811448457954617,-0.2421130528171019,-0.13493183003426734,31,29,0.32957902519786486
CMUMOSI,70,0.7,485,0.26842400182764353,0.3102152269381227,0.5669035246805324,0.5739088827284303,0.3169141395231584,0.36534112246739286,-0.3449747558068606,-0.3240702193226777,31,27,0.27340863903515217
