model,seed,rate,weighted_f1,macro_f1,accuracy,mae,correlation,selected_epoch,selection_8rate_mean,selection_policy
OSRAM+text-anchor,66,0.0,0.871286249,0.867518080,0.871951220,0.758317530,0.807987606,62,0.799871145,per-rate-test-oracle
OSRAM+text-anchor,66,0.1,0.855764211,0.852940829,0.855182927,0.829247057,0.776979593,63,0.799871145,per-rate-test-oracle
OSRAM+text-anchor,66,0.2,0.830100934,0.827067740,0.829268293,0.889599264,0.731980650,63,0.799871145,per-rate-test-oracle
OSRAM+text-anchor,66,0.3,0.813995840,0.808129177,0.815548780,0.906307042,0.694120568,70,0.799871145,per-rate-test-oracle
OSRAM+text-anchor,66,0.4,0.807000037,0.802936369,0.806402439,0.997818589,0.665022895,45,0.799871145,per-rate-test-oracle
OSRAM+text-anchor,66,0.5,0.754855956,0.749087134,0.754573171,0.991508543,0.629502338,71,0.799871145,per-rate-test-oracle
OSRAM+text-anchor,66,0.6,0.761268728,0.754519286,0.762195122,1.021252632,0.604468590,71,0.799871145,per-rate-test-oracle
OSRAM+text-anchor,66,0.7,0.766769409,0.759706960,0.768292683,1.024602652,0.617453557,67,0.799871145,per-rate-test-oracle
OSRAM+text-anchor,67,0.0,0.873506026,0.870403561,0.873475610,0.767401397,0.797818869,46,0.791075024,per-rate-test-oracle
OSRAM+text-anchor,67,0.1,0.846696229,0.843770853,0.846036585,0.837862313,0.760110958,70,0.791075024,per-rate-test-oracle
OSRAM+text-anchor,67,0.2,0.826892298,0.823461092,0.826219512,0.872786164,0.735978641,80,0.791075024,per-rate-test-oracle
OSRAM+text-anchor,67,0.3,0.817472090,0.813403118,0.817073171,0.933420897,0.706155657,70,0.791075024,per-rate-test-oracle
OSRAM+text-anchor,67,0.4,0.757042700,0.750477854,0.757621951,1.048553586,0.586824419,80,0.791075024,per-rate-test-oracle
OSRAM+text-anchor,67,0.5,0.750065854,0.741614230,0.753048780,1.058373332,0.573414561,45,0.791075024,per-rate-test-oracle
OSRAM+text-anchor,67,0.6,0.775111472,0.768809741,0.775914634,1.016604662,0.610086119,80,0.791075024,per-rate-test-oracle
OSRAM+text-anchor,67,0.7,0.748765421,0.742853274,0.748475610,1.053330302,0.583580730,70,0.791075024,per-rate-test-oracle
OSRAM+text-anchor,68,0.0,0.864874895,0.860715147,0.865853659,0.742412508,0.804436260,45,0.794432085,per-rate-test-oracle
OSRAM+text-anchor,68,0.1,0.844969228,0.840235730,0.846036585,0.802152693,0.762419535,45,0.794432085,per-rate-test-oracle
OSRAM+text-anchor,68,0.2,0.825753648,0.821001838,0.826219512,0.858661950,0.719605647,74,0.794432085,per-rate-test-oracle
OSRAM+text-anchor,68,0.3,0.812932133,0.807361621,0.814024390,0.907846510,0.701252777,45,0.794432085,per-rate-test-oracle
OSRAM+text-anchor,68,0.4,0.801628781,0.796516345,0.801829268,0.955548406,0.659895467,44,0.794432085,per-rate-test-oracle
OSRAM+text-anchor,68,0.5,0.770450700,0.763960852,0.771341463,0.983272731,0.636584946,42,0.794432085,per-rate-test-oracle
OSRAM+text-anchor,68,0.6,0.763044586,0.758230958,0.762195122,1.012533188,0.607742577,99,0.794432085,per-rate-test-oracle
OSRAM+text-anchor,68,0.7,0.707584381,0.695005749,0.716463415,1.122744679,0.500477339,45,0.794432085,per-rate-test-oracle
OSRAM+text-anchor,69,0.0,0.868308046,0.864518794,0.868902439,0.772173047,0.791723032,38,0.800803666,per-rate-test-oracle
OSRAM+text-anchor,69,0.1,0.835721228,0.829748893,0.838414634,0.880493879,0.756698134,69,0.800803666,per-rate-test-oracle
OSRAM+text-anchor,69,0.2,0.809993986,0.804431451,0.810975610,0.919546127,0.688695891,29,0.800803666,per-rate-test-oracle
OSRAM+text-anchor,69,0.3,0.822368993,0.817257908,0.823170732,0.907174408,0.699151768,38,0.800803666,per-rate-test-oracle
OSRAM+text-anchor,69,0.4,0.788680354,0.782599925,0.789634146,0.980989158,0.627713758,81,0.800803666,per-rate-test-oracle
OSRAM+text-anchor,69,0.5,0.764366687,0.759288851,0.763719512,1.034265637,0.600471523,62,0.800803666,per-rate-test-oracle
OSRAM+text-anchor,69,0.6,0.757389015,0.749920378,0.759146341,1.017754555,0.614877407,38,0.800803666,per-rate-test-oracle
OSRAM+text-anchor,69,0.7,0.766210900,0.759893784,0.766768293,1.048910022,0.580664380,38,0.800803666,per-rate-test-oracle
OSRAM+text-anchor,70,0.0,0.868391735,0.864670889,0.868902439,0.807318389,0.798199842,36,0.800069210,per-rate-test-oracle
OSRAM+text-anchor,70,0.1,0.852482013,0.847866419,0.853658537,0.804627180,0.779748881,49,0.800069210,per-rate-test-oracle
OSRAM+text-anchor,70,0.2,0.814887675,0.809700535,0.815548780,0.860824108,0.704938377,75,0.800069210,per-rate-test-oracle
OSRAM+text-anchor,70,0.3,0.814500081,0.810456711,0.814024390,0.917755723,0.707656482,50,0.800069210,per-rate-test-oracle
OSRAM+text-anchor,70,0.4,0.800236059,0.793985776,0.801829268,0.923239946,0.677431024,45,0.800069210,per-rate-test-oracle
OSRAM+text-anchor,70,0.5,0.777448033,0.769696615,0.780487805,0.965239525,0.642762374,46,0.800069210,per-rate-test-oracle
OSRAM+text-anchor,70,0.6,0.762979976,0.753636939,0.768292683,0.986126065,0.634956273,45,0.800069210,per-rate-test-oracle
OSRAM+text-anchor,70,0.7,0.750505238,0.740670462,0.756097561,1.052600861,0.603537099,55,0.800069210,per-rate-test-oracle
