variant,seed,rate,pattern,count,weighted_f1
no-JEPA,66,0.0,ATV,686,0.8644706534097786
no-JEPA,66,0.1,V,8,0.7500000000000001
no-JEPA,66,0.1,T,7,0.6
no-JEPA,66,0.1,TV,62,0.8897273246550221
no-JEPA,66,0.1,A,7,0.7142857142857143
no-JEPA,66,0.1,AV,58,0.7082132788053412
no-JEPA,66,0.1,AT,51,0.8464912280701754
no-JEPA,66,0.1,ATV,493,0.8713787844873192
no-JEPA,66,0.2,V,32,0.7045454545454546
no-JEPA,66,0.2,T,23,0.7301003344481607
no-JEPA,66,0.2,TV,87,0.9203686445065756
no-JEPA,66,0.2,A,21,0.756456358287022
no-JEPA,66,0.2,AV,96,0.5867071524966262
no-JEPA,66,0.2,AT,82,0.8432291974251461
no-JEPA,66,0.2,ATV,345,0.8755028288279658
no-JEPA,66,0.3,V,41,0.6849323521698216
no-JEPA,66,0.3,T,43,0.9077002583979328
no-JEPA,66,0.3,TV,80,0.861777353081701
no-JEPA,66,0.3,A,48,0.7321376334649701
no-JEPA,66,0.3,AV,122,0.6694813453928773
no-JEPA,66,0.3,AT,105,0.856814732783725
no-JEPA,66,0.3,ATV,247,0.8416102004912123
no-JEPA,66,0.4,V,96,0.6868143922773146
no-JEPA,66,0.4,T,71,0.8169741098966241
no-JEPA,66,0.4,TV,102,0.8611471199706494
no-JEPA,66,0.4,A,73,0.7236732955182387
no-JEPA,66,0.4,AV,94,0.7602560723027678
no-JEPA,66,0.4,AT,103,0.8740736648759132
no-JEPA,66,0.4,ATV,147,0.8443692940180059
no-JEPA,66,0.5,V,122,0.639344262295082
no-JEPA,66,0.5,T,129,0.8835626001258006
no-JEPA,66,0.5,TV,94,0.9254379219003673
no-JEPA,66,0.5,A,102,0.6744159314922843
no-JEPA,66,0.5,AV,85,0.6541582150101419
no-JEPA,66,0.5,AT,80,0.7914901299951854
no-JEPA,66,0.5,ATV,74,0.7898270941749201
no-JEPA,66,0.6,V,161,0.6377182077635564
no-JEPA,66,0.6,T,144,0.8271983640081798
no-JEPA,66,0.6,TV,83,0.8559810671256455
no-JEPA,66,0.6,A,136,0.6911764705882353
no-JEPA,66,0.6,AV,66,0.583794466403162
no-JEPA,66,0.6,AT,63,0.9047619047619048
no-JEPA,66,0.6,ATV,33,0.8794612794612795
no-JEPA,66,0.7,V,173,0.6707205566939657
no-JEPA,66,0.7,T,202,0.8616843856516799
no-JEPA,66,0.7,TV,48,0.8962418300653595
no-JEPA,66,0.7,A,168,0.6275096035370008
no-JEPA,66,0.7,AV,41,0.5956227280269092
no-JEPA,66,0.7,AT,38,0.9473684210526315
no-JEPA,66,0.7,ATV,16,0.873015873015873
no-JEPA,67,0.0,ATV,686,0.858386212101963
no-JEPA,67,0.1,V,6,0.8380952380952381
no-JEPA,67,0.1,T,7,0.6714285714285715
no-JEPA,67,0.1,TV,59,0.8810781585591484
no-JEPA,67,0.1,A,5,0.4
no-JEPA,67,0.1,AV,62,0.7314773898954191
no-JEPA,67,0.1,AT,61,0.8507010812696197
no-JEPA,67,0.1,ATV,486,0.8480800166911278
no-JEPA,67,0.2,V,24,0.6018518518518519
no-JEPA,67,0.2,T,16,0.75
no-JEPA,67,0.2,TV,85,0.8500947607627567
no-JEPA,67,0.2,A,19,0.6842105263157895
no-JEPA,67,0.2,AV,93,0.677792366685566
no-JEPA,67,0.2,AT,80,0.8873397689507833
no-JEPA,67,0.2,ATV,369,0.8761580936052833
no-JEPA,67,0.3,V,53,0.6820496958449325
no-JEPA,67,0.3,T,58,0.8258110327075845
no-JEPA,67,0.3,TV,93,0.8488501311930853
no-JEPA,67,0.3,A,49,0.5990034809910587
no-JEPA,67,0.3,AV,103,0.6457048425649954
no-JEPA,67,0.3,AT,97,0.9276748452006183
no-JEPA,67,0.3,ATV,233,0.8244997720936511
no-JEPA,67,0.4,V,94,0.560556562290117
no-JEPA,67,0.4,T,90,0.910842969666499
no-JEPA,67,0.4,TV,85,0.7992059856466635
no-JEPA,67,0.4,A,79,0.6344416639775289
no-JEPA,67,0.4,AV,92,0.6283748722383836
no-JEPA,67,0.4,AT,93,0.7980717595194384
no-JEPA,67,0.4,ATV,153,0.8169934640522876
no-JEPA,67,0.5,V,120,0.6529239766081872
no-JEPA,67,0.5,T,110,0.8219409822435062
no-JEPA,67,0.5,TV,85,0.8810503222267929
no-JEPA,67,0.5,A,125,0.6013831967213115
no-JEPA,67,0.5,AV,85,0.6539792387543253
no-JEPA,67,0.5,AT,81,0.8358591779032185
no-JEPA,67,0.5,ATV,80,0.8852963719979561
no-JEPA,67,0.6,V,161,0.5858766138330431
no-JEPA,67,0.6,T,153,0.8094003915007163
no-JEPA,67,0.6,TV,58,0.8953266787658802
no-JEPA,67,0.6,A,148,0.6796609607768406
no-JEPA,67,0.6,AV,65,0.737218780269386
no-JEPA,67,0.6,AT,68,0.8951281938131593
no-JEPA,67,0.6,ATV,33,0.8703703703703703
no-JEPA,67,0.7,V,187,0.695989465456363
no-JEPA,67,0.7,T,171,0.8428104575163399
no-JEPA,67,0.7,TV,41,0.7772297389022128
no-JEPA,67,0.7,A,168,0.6994115106360004
no-JEPA,67,0.7,AV,55,0.596
no-JEPA,67,0.7,AT,46,0.9121808143547274
no-JEPA,67,0.7,ATV,18,0.9442724458204333
no-JEPA,68,0.0,ATV,686,0.8645470600420733
no-JEPA,68,0.1,V,3,0.3333333333333333
no-JEPA,68,0.1,T,8,0.7333333333333334
no-JEPA,68,0.1,TV,75,0.880599037261544
no-JEPA,68,0.1,A,4,1.0
no-JEPA,68,0.1,AV,57,0.6491228070175439
no-JEPA,68,0.1,AT,50,0.8593526691887348
no-JEPA,68,0.1,ATV,489,0.8568507157464212
no-JEPA,68,0.2,V,29,0.6258085532132719
no-JEPA,68,0.2,T,19,0.8947368421052632
no-JEPA,68,0.2,TV,97,0.8154773061989556
no-JEPA,68,0.2,A,25,0.595093555093555
no-JEPA,68,0.2,AV,91,0.7391079508726567
no-JEPA,68,0.2,AT,83,0.8554216867469879
no-JEPA,68,0.2,ATV,342,0.8536409092037024
no-JEPA,68,0.3,V,41,0.6787672527888069
no-JEPA,68,0.3,T,63,0.7671335200746966
no-JEPA,68,0.3,TV,102,0.8155188556021455
no-JEPA,68,0.3,A,49,0.6792292459739766
no-JEPA,68,0.3,AV,97,0.6842993859308542
no-JEPA,68,0.3,AT,96,0.9072557876905702
no-JEPA,68,0.3,ATV,238,0.8326957937888925
no-JEPA,68,0.4,V,70,0.5430824415261021
no-JEPA,68,0.4,T,68,0.9117647058823529
no-JEPA,68,0.4,TV,108,0.8888888888888888
no-JEPA,68,0.4,A,87,0.7099668232221221
no-JEPA,68,0.4,AV,92,0.5889122200263504
no-JEPA,68,0.4,AT,96,0.8224013502502618
no-JEPA,68,0.4,ATV,165,0.8715653214022925
no-JEPA,68,0.5,V,105,0.6410562770562771
no-JEPA,68,0.5,T,117,0.8559670781893002
no-JEPA,68,0.5,TV,90,0.8232841103921243
no-JEPA,68,0.5,A,116,0.6938943129280538
no-JEPA,68,0.5,AV,88,0.6804584304584305
no-JEPA,68,0.5,AT,92,0.8580312917682207
no-JEPA,68,0.5,ATV,78,0.8725961538461539
no-JEPA,68,0.6,V,152,0.6017723344254515
no-JEPA,68,0.6,T,150,0.8276078431372549
no-JEPA,68,0.6,TV,67,0.8805970149253731
no-JEPA,68,0.6,A,154,0.7180424764576236
no-JEPA,68,0.6,AV,52,0.6317016317016316
no-JEPA,68,0.6,AT,73,0.8484610069127226
no-JEPA,68,0.6,ATV,38,0.9735104452253157
no-JEPA,68,0.7,V,203,0.625615763546798
no-JEPA,68,0.7,T,137,0.8966500934447618
no-JEPA,68,0.7,TV,44,0.7966942148760331
no-JEPA,68,0.7,A,188,0.5709926674837468
no-JEPA,68,0.7,AV,46,0.5883235687120979
no-JEPA,68,0.7,AT,46,0.8695652173913043
no-JEPA,68,0.7,ATV,22,0.7722567287784678
no-JEPA,69,0.0,ATV,686,0.8593733686722597
no-JEPA,69,0.1,V,7,0.7142857142857143
no-JEPA,69,0.1,T,7,0.8507936507936508
no-JEPA,69,0.1,TV,52,0.8659578903481342
no-JEPA,69,0.1,A,9,0.6222222222222222
no-JEPA,69,0.1,AV,58,0.6117059891107078
no-JEPA,69,0.1,AT,49,0.876600985221675
no-JEPA,69,0.1,ATV,504,0.8606655974338412
no-JEPA,69,0.2,V,24,0.662004662004662
no-JEPA,69,0.2,T,23,0.8685481820493264
no-JEPA,69,0.2,TV,80,0.8501879699248122
no-JEPA,69,0.2,A,29,0.5795241913926759
no-JEPA,69,0.2,AV,87,0.6793592565419417
no-JEPA,69,0.2,AT,96,0.7935571687840289
no-JEPA,69,0.2,ATV,347,0.8441466660800316
no-JEPA,69,0.3,V,46,0.7161841480778357
no-JEPA,69,0.3,T,45,0.8894660894660894
no-JEPA,69,0.3,TV,102,0.8140778964179518
no-JEPA,69,0.3,A,50,0.5342657342657343
no-JEPA,69,0.3,AV,94,0.7276144251932953
no-JEPA,69,0.3,AT,105,0.838653021244976
no-JEPA,69,0.3,ATV,244,0.8761099726775957
no-JEPA,69,0.4,V,79,0.620253164556962
no-JEPA,69,0.4,T,78,0.8709935897435898
no-JEPA,69,0.4,TV,96,0.8743055555555556
no-JEPA,69,0.4,A,90,0.57
no-JEPA,69,0.4,AV,101,0.7014193900593066
no-JEPA,69,0.4,AT,91,0.8159517901453385
no-JEPA,69,0.4,ATV,151,0.8539481864290018
no-JEPA,69,0.5,V,125,0.616
no-JEPA,69,0.5,T,133,0.8591077411391289
no-JEPA,69,0.5,TV,88,0.8636363636363636
no-JEPA,69,0.5,A,123,0.6678206136900078
no-JEPA,69,0.5,AV,77,0.663022113022113
no-JEPA,69,0.5,AT,70,0.8160733384262796
no-JEPA,69,0.5,ATV,70,0.8584126984126985
no-JEPA,69,0.6,V,151,0.6874626366512037
no-JEPA,69,0.6,T,166,0.8439220181470081
no-JEPA,69,0.6,TV,56,0.8106566226628062
no-JEPA,69,0.6,A,148,0.6472734753984755
no-JEPA,69,0.6,AV,51,0.5207434325081383
no-JEPA,69,0.6,AT,65,0.845329134802819
no-JEPA,69,0.6,ATV,49,0.8775510204081632
no-JEPA,69,0.7,V,173,0.7327800974644666
no-JEPA,69,0.7,T,194,0.8758079681319231
no-JEPA,69,0.7,TV,53,0.9429262905613384
no-JEPA,69,0.7,A,156,0.5852383717860725
no-JEPA,69,0.7,AV,48,0.5491803278688524
no-JEPA,69,0.7,AT,47,0.8885377278627461
no-JEPA,69,0.7,ATV,15,0.9339366515837104
no-JEPA,70,0.0,ATV,686,0.8631282206002417
no-JEPA,70,0.1,V,6,0.6666666666666666
no-JEPA,70,0.1,T,5,0.888888888888889
no-JEPA,70,0.1,TV,64,0.9053552492046659
no-JEPA,70,0.1,A,8,0.5333333333333333
no-JEPA,70,0.1,AV,56,0.6595238095238096
no-JEPA,70,0.1,AT,55,0.8162337662337663
no-JEPA,70,0.1,ATV,492,0.8580519579622631
no-JEPA,70,0.2,V,30,0.5041128084606346
no-JEPA,70,0.2,T,26,0.8501759678230266
no-JEPA,70,0.2,TV,74,0.877686618575601
no-JEPA,70,0.2,A,25,0.6329064039408867
no-JEPA,70,0.2,AV,93,0.6029171457967681
no-JEPA,70,0.2,AT,85,0.811608364275943
no-JEPA,70,0.2,ATV,353,0.8556138211895391
no-JEPA,70,0.3,V,63,0.6651411136536994
no-JEPA,70,0.3,T,45,0.8674603174603175
no-JEPA,70,0.3,TV,115,0.7398410358985156
no-JEPA,70,0.3,A,44,0.7183600713012477
no-JEPA,70,0.3,AV,98,0.7318513119533528
no-JEPA,70,0.3,AT,86,0.8271501250156873
no-JEPA,70,0.3,ATV,235,0.8648258601662008
no-JEPA,70,0.4,V,70,0.6773333333333335
no-JEPA,70,0.4,T,82,0.864041172521817
no-JEPA,70,0.4,TV,95,0.8825659841401349
no-JEPA,70,0.4,A,83,0.6441401971522452
no-JEPA,70,0.4,AV,107,0.6542056074766355
