method,mode,seed,rate,pattern,n,weighted_f1
U1,Original,66,0.0,V,0,None
U1,Original,66,0.0,T,0,None
U1,Original,66,0.0,TV,0,None
U1,Original,66,0.0,A,0,None
U1,Original,66,0.0,AV,0,None
U1,Original,66,0.0,AT,0,None
U1,Original,66,0.0,ATV,686,86.72044163908976
U1,Original,66,0.1,V,8,63.095238095238095
U1,Original,66,0.1,T,7,50.0
U1,Original,66,0.1,TV,62,88.72111427666984
U1,Original,66,0.1,A,7,82.85714285714286
U1,Original,66,0.1,AV,58,70.85137085137086
U1,Original,66,0.1,AT,51,86.32366540563262
U1,Original,66,0.1,ATV,493,87.41643943816901
U1,Original,66,0.2,V,32,67.49590834697217
U1,Original,66,0.2,T,23,67.9040596660734
U1,Original,66,0.2,TV,87,90.58823529411765
U1,Original,66,0.2,A,21,90.47619047619048
U1,Original,66,0.2,AV,96,65.59139784946237
U1,Original,66,0.2,AT,82,88.35396833226457
U1,Original,66,0.2,ATV,345,84.11570951879774
U1,Original,66,0.3,V,41,68.76329245667225
U1,Original,66,0.3,T,43,92.70961524204905
U1,Original,66,0.3,TV,80,84.23848878394332
U1,Original,66,0.3,A,48,74.56059204440334
U1,Original,66,0.3,AV,122,64.86906922478612
U1,Original,66,0.3,AT,105,84.81786506176749
U1,Original,66,0.3,ATV,247,86.00466199136619
U1,Original,66,0.4,V,96,70.79794278900758
U1,Original,66,0.4,T,71,85.24305555555554
U1,Original,66,0.4,TV,102,89.94906621392191
U1,Original,66,0.4,A,73,64.20289855072464
U1,Original,66,0.4,AV,94,70.44342317724505
U1,Original,66,0.4,AT,103,85.4374834787206
U1,Original,66,0.4,ATV,147,86.35319636370596
U1,Original,66,0.5,V,122,68.00746569814365
U1,Original,66,0.5,T,129,89.19308758971499
U1,Original,66,0.5,TV,94,88.75553285665646
U1,Original,66,0.5,A,102,67.32776267659987
U1,Original,66,0.5,AV,85,62.166285278413426
U1,Original,66,0.5,AT,80,81.81444377990431
U1,Original,66,0.5,ATV,74,87.2034088360619
U1,Original,66,0.6,V,161,61.39720171006607
U1,Original,66,0.6,T,144,88.18328392364903
U1,Original,66,0.6,TV,83,83.22344322344321
U1,Original,66,0.6,A,136,68.35949883829501
U1,Original,66,0.6,AV,66,62.44042612839922
U1,Original,66,0.6,AT,63,90.09193619849357
U1,Original,66,0.6,ATV,33,84.90496766358837
U1,Original,66,0.7,V,173,67.12745098039215
U1,Original,66,0.7,T,202,87.70229322381955
U1,Original,66,0.7,TV,48,86.88127090301003
U1,Original,66,0.7,A,168,63.649417436233705
U1,Original,66,0.7,AV,41,69.3965802537231
U1,Original,66,0.7,AT,38,86.35410921125207
U1,Original,66,0.7,ATV,16,93.72549019607843
U1,Original,67,0.0,V,0,None
U1,Original,67,0.0,T,0,None
U1,Original,67,0.0,TV,0,None
U1,Original,67,0.0,A,0,None
U1,Original,67,0.0,AV,0,None
U1,Original,67,0.0,AT,0,None
U1,Original,67,0.0,ATV,686,87.38661660891802
U1,Original,67,0.1,V,6,66.66666666666666
U1,Original,67,0.1,T,7,85.71428571428571
U1,Original,67,0.1,TV,59,86.23985498290283
U1,Original,67,0.1,A,5,78.09523809523809
U1,Original,67,0.1,AV,62,78.32720743242906
U1,Original,67,0.1,AT,61,80.02658690594882
U1,Original,67,0.1,ATV,486,87.16787314613762
U1,Original,67,0.2,V,24,64.81481481481482
U1,Original,67,0.2,T,16,85.71428571428571
U1,Original,67,0.2,TV,85,86.66556963413964
U1,Original,67,0.2,A,19,72.1362229102167
U1,Original,67,0.2,AV,93,72.43052785533838
U1,Original,67,0.2,AT,80,89.325746799431
U1,Original,67,0.2,ATV,369,87.70869732369545
U1,Original,67,0.3,V,53,56.200734394124844
