method,mode,seed,rate,weighted_f1
U1,Original,66,0.0,86.72044163908976
U1,Original,66,0.1,85.22385756007085
U1,Original,66,0.2,81.91575152362941
U1,Original,66,0.3,80.52261667100656
U1,Original,66,0.4,80.11064387884159
U1,Original,66,0.5,77.52636846925961
U1,Original,66,0.6,74.96130622539839
U1,Original,66,0.7,75.49917143504452
U1,Original,67,0.0,87.38661660891802
U1,Original,67,0.1,85.43042641706506
U1,Original,67,0.2,84.40953696646342
U1,Original,67,0.3,80.28360818099374
U1,Original,67,0.4,75.90186889263553
U1,Original,67,0.5,74.22816736191791
U1,Original,67,0.6,74.54587682218785
U1,Original,67,0.7,76.207378246737
U1,Original,68,0.0,87.74958571752225
U1,Original,68,0.1,84.78934079646862
U1,Original,68,0.2,83.04343860746299
U1,Original,68,0.3,81.98435447925007
U1,Original,68,0.4,79.43888214908755
U1,Original,68,0.5,77.82340352462303
U1,Original,68,0.6,76.05539851521112
U1,Original,68,0.7,68.51337857932808
U1,Original,69,0.0,87.20121463804566
U1,Original,69,0.1,84.21194493852346
U1,Original,69,0.2,81.36330835735409
U1,Original,69,0.3,81.42787641782195
U1,Original,69,0.4,77.8560382254
U1,Original,69,0.5,76.82213211539438
U1,Original,69,0.6,75.2981060778225
U1,Original,69,0.7,75.74398689813503
U1,Original,70,0.0,87.466490502451
U1,Original,70,0.1,85.19452929473324
U1,Original,70,0.2,81.31811821922145
U1,Original,70,0.3,80.81057856655404
U1,Original,70,0.4,77.60021151422976
U1,Original,70,0.5,75.3986633400657
U1,Original,70,0.6,74.66952121561302
U1,Original,70,0.7,74.92520169242735
U2,Original,66,0.0,86.72044163908976
U2,Original,66,0.1,85.22385756007085
U2,Original,66,0.2,81.91575152362941
U2,Original,66,0.3,80.52261667100656
U2,Original,66,0.4,80.11064387884159
U2,Original,66,0.5,77.52636846925961
U2,Original,66,0.6,74.96130622539839
U2,Original,66,0.7,75.49917143504452
U2,Original,67,0.0,87.38661660891802
U2,Original,67,0.1,85.43042641706506
U2,Original,67,0.2,84.40953696646342
U2,Original,67,0.3,80.28360818099374
U2,Original,67,0.4,75.90186889263553
U2,Original,67,0.5,74.22816736191791
U2,Original,67,0.6,74.54587682218785
U2,Original,67,0.7,76.207378246737
U2,Original,68,0.0,87.74958571752225
U2,Original,68,0.1,84.78934079646862
U2,Original,68,0.2,83.04343860746299
U2,Original,68,0.3,81.98435447925007
U2,Original,68,0.4,79.43888214908755
U2,Original,68,0.5,77.82340352462303
