section,rate,mode,modality,metric,n_seeds,mean,sample_std,positive,zero,negative,sign_flip_p_two_sided
retention,0.1,fixed0.9,audio,decay_damage,5,0.009044602046214599,0.00031385263655430036,,,,
retention,0.1,fixed0.9,audio,err_decay,5,0.10294117391463557,0.00857481417414609,,,,
retention,0.1,fixed0.9,audio,err_post,5,0.3191379654822628,0.015247769565447634,,,,
retention,0.1,fixed0.9,audio,write_damage,5,0.21619679168242098,0.014032530319092979,,,,
retention,0.1,fixed0.9,text,decay_damage,5,0.010779532470776813,0.00046698303204406984,,,,
retention,0.1,fixed0.9,text,err_decay,5,0.13995429606026938,0.005783540478406002,,,,
retention,0.1,fixed0.9,text,err_post,5,0.31950690337049786,0.01122790509554981,,,,
retention,0.1,fixed0.9,text,write_damage,5,0.17955260728003608,0.014582434337290204,,,,
retention,0.1,fixed0.9,visual,decay_damage,5,0.009591742104738794,0.00024748792184348995,,,,
retention,0.1,fixed0.9,visual,err_decay,5,0.10752049980947648,0.00638608157078698,,,,
retention,0.1,fixed0.9,visual,err_post,5,0.31559588616093515,0.021842821584442375,,,,
retention,0.1,fixed0.9,visual,write_damage,5,0.20807538625611793,0.017207455949816444,,,,
retention,0.1,global,audio,decay_damage,5,0.016238716384927417,0.00044913485808656595,,,,
retention,0.1,global,audio,err_decay,5,0.05209657150055294,0.0064344769035201204,,,,
retention,0.1,global,audio,err_post,5,0.308861276980619,0.016138408532403697,,,,
retention,0.1,global,audio,write_damage,5,0.256764705475776,0.013940881229724453,,,,
retention,0.1,global,text,decay_damage,5,0.01645043576455288,0.0005934117858004529,,,,
retention,0.1,global,text,err_decay,5,0.05819389383450682,0.008061723241227071,,,,
retention,0.1,global,text,err_post,5,0.2819457757767304,0.01375385296635241,,,,
retention,0.1,global,text,write_damage,5,0.22375188209426652,0.015126845632642367,,,,
retention,0.1,global,visual,decay_damage,5,0.01604895992280341,0.000605186053661059,,,,
retention,0.1,global,visual,err_decay,5,0.0598239913752447,0.007303373894135851,,,,
retention,0.1,global,visual,err_post,5,0.30549067246093004,0.020685648458919386,,,,
retention,0.1,global,visual,write_damage,5,0.24566668090330568,0.016885792903184087,,,,
retention,0.1,global-minus-fixed0.9,audio,decay_damage,5,0.007194114338712819,0.00040454967855152007,5,0,0,
retention,0.1,global-minus-fixed0.9,audio,err_decay,5,-0.05084460241408263,0.005741434869066284,0,0,5,
retention,0.1,global-minus-fixed0.9,audio,err_post,5,-0.010276688501643838,0.0045498420518196876,0,0,5,
retention,0.1,global-minus-fixed0.9,audio,write_damage,5,0.040567913793355066,0.007755294358579464,5,0,0,
retention,0.1,global-minus-fixed0.9,text,decay_damage,5,0.005670903293776065,0.0003135162107687349,5,0,0,
retention,0.1,global-minus-fixed0.9,text,err_decay,5,-0.08176040222576256,0.005788860695524286,0,0,5,
retention,0.1,global-minus-fixed0.9,text,err_post,5,-0.037561127593767486,0.004186690650105633,0,0,5,
retention,0.1,global-minus-fixed0.9,text,write_damage,5,0.04419927481423046,0.0028700878048554114,5,0,0,
retention,0.1,global-minus-fixed0.9,visual,decay_damage,5,0.006457217818064619,0.0006034115415887929,5,0,0,
retention,0.1,global-minus-fixed0.9,visual,err_decay,5,-0.047696508434231774,0.002969815453392516,0,0,5,
retention,0.1,global-minus-fixed0.9,visual,err_post,5,-0.010105213700005111,0.003128559649535057,0,0,5,
retention,0.1,global-minus-fixed0.9,visual,write_damage,5,0.03759129464718774,0.005559235491996235,5,0,0,
retention,0.1,protected,audio,decay_damage,5,0.01710193227232103,0.00030146229481032964,,,,
retention,0.1,protected,audio,err_decay,5,0.03689685047485003,0.002952324445521106,,,,
retention,0.1,protected,audio,err_post,5,0.036957745073985915,0.0029569548177033208,,,,
retention,0.1,protected,audio,write_damage,5,6.089459913588707e-05,7.273983250359776e-06,,,,
retention,0.1,protected,text,decay_damage,5,0.017463999407619755,0.00046447779692232374,,,,
retention,0.1,protected,text,err_decay,5,0.044158678158809445,0.006658001093252895,,,,
retention,0.1,protected,text,err_post,5,0.04423404514710043,0.006648497571100139,,,,
retention,0.1,protected,text,write_damage,5,7.53669882909828e-05,1.1119213035760565e-05,,,,
retention,0.1,protected,visual,decay_damage,5,0.017038534817981926,0.0005299328587241195,,,,
retention,0.1,protected,visual,err_decay,5,0.039881212956662485,0.004709251340175283,,,,
retention,0.1,protected,visual,err_post,5,0.03993762678168148,0.004708861601810336,,,,
retention,0.1,protected,visual,write_damage,5,5.641382501899546e-05,1.1294736657703334e-05,,,,
retention,0.1,reference,audio,decay_damage,5,0.01734420100141962,0.0005100497032991699,,,,
retention,0.1,reference,audio,err_decay,5,0.04862622571605197,0.007142481030514798,,,,
retention,0.1,reference,audio,err_post,5,0.33358330690551763,0.01626338016203465,,,,
retention,0.1,reference,audio,write_damage,5,0.28495708137154363,0.015871580939078755,,,,
retention,0.1,reference,text,decay_damage,5,0.01719838740017647,0.0005162784328675515,,,,
retention,0.1,reference,text,err_decay,5,0.052607952148123846,0.0069118451562391,,,,
retention,0.1,reference,text,err_post,5,0.3050271959427545,0.016144544642764533,,,,
retention,0.1,reference,text,write_damage,5,0.2524192437649365,0.018104200093873254,,,,
retention,0.1,reference,visual,decay_damage,5,0.01689713186991672,0.0004356043900883903,,,,
retention,0.1,reference,visual,err_decay,5,0.05714867751910292,0.006125989738205755,,,,
retention,0.1,reference,visual,err_post,5,0.3325189632800372,0.023405525822699412,,,,
retention,0.1,reference,visual,write_damage,5,0.2753702858139852,0.02067215233286599,,,,
retention,0.3,fixed0.9,audio,decay_damage,5,0.008099838872647255,0.00036264030326709,,,,
retention,0.3,fixed0.9,audio,err_decay,5,0.15089664778541273,0.008723860876541109,,,,
retention,0.3,fixed0.9,audio,err_post,5,0.3213017335029979,0.017464221865925757,,,,
retention,0.3,fixed0.9,audio,write_damage,5,0.17040508579291144,0.010845581820981198,,,,
retention,0.3,fixed0.9,text,decay_damage,5,0.00981543211859966,0.00042840803003497654,,,,
