seed,mode,rate,weighted_f1,selected_epoch
66,Joint,0.0,87.51164636870978,30
66,Joint,0.1,86.28048780487805,30
66,Joint,0.2,81.91162971876396,51
66,Joint,0.3,80.41429817076767,30
66,Joint,0.4,79.39383606605203,47
66,Joint,0.5,77.09875569396195,48
66,Joint,0.6,74.54147694902016,30
66,Joint,0.7,74.82835686041683,29
66,No-JEPA,0.0,87.466490502451,79
66,No-JEPA,0.1,86.06961736398836,79
66,No-JEPA,0.2,82.6043699914451,79
66,No-JEPA,0.3,81.13878258762107,63
66,No-JEPA,0.4,81.0784375345543,79
66,No-JEPA,0.5,77.35113573070099,39
66,No-JEPA,0.6,75.41366879345975,39
66,No-JEPA,0.7,75.49917143504452,79
66,State-JEPA,0.0,86.95417888015908,54
66,State-JEPA,0.1,85.44533026793792,54
66,State-JEPA,0.2,82.21321919611272,41
66,State-JEPA,0.3,80.7391350163711,47
66,State-JEPA,0.4,79.97686540593034,45
66,State-JEPA,0.5,76.59323487676643,27
66,State-JEPA,0.6,74.66952121561302,79
66,State-JEPA,0.7,74.83564680933102,55
66,WSC,0.0,87.28605828047827,67
66,WSC,0.1,84.91216455686282,67
66,WSC,0.2,82.34125954481429,68
66,WSC,0.3,80.63673024161217,76
66,WSC,0.4,80.53035621947981,68
66,WSC,0.5,75.95760495327374,64
66,WSC,0.6,75.42597130362941,64
66,WSC,0.7,74.96290372414856,76
67,Joint,0.0,87.57562492925214,41
67,Joint,0.1,85.92963916652153,41
67,Joint,0.2,83.85651847662483,41
67,Joint,0.3,80.47724935213554,54
67,Joint,0.4,76.6343024033531,41
67,Joint,0.5,76.25709678884498,54
67,Joint,0.6,75.15984060146774,93
67,Joint,0.7,76.36290764593038,59
67,No-JEPA,0.0,86.97969823904404,51
67,No-JEPA,0.1,84.88926185751124,65
67,No-JEPA,0.2,83.63056295303274,37
67,No-JEPA,0.3,80.24740002329798,33
67,No-JEPA,0.4,75.54871885657127,33
67,No-JEPA,0.5,75.33865557120616,41
67,No-JEPA,0.6,75.47981029909067,51
67,No-JEPA,0.7,75.97623996659827,41
67,State-JEPA,0.0,87.79254034487374,40
67,State-JEPA,0.1,85.20978604153095,45
67,State-JEPA,0.2,83.67677105723553,45
67,State-JEPA,0.3,80.09212982853323,31
67,State-JEPA,0.4,75.19165857490941,72
67,State-JEPA,0.5,75.05451890620851,45
67,State-JEPA,0.6,75.51552566117408,31
67,State-JEPA,0.7,75.90186889263553,71
67,WSC,0.0,87.12862485410514,50
67,WSC,0.1,85.88391018579303,64
67,WSC,0.2,84.08458186481693,44
67,WSC,0.3,79.88762300264317,84
67,WSC,0.4,75.39309158211597,64
67,WSC,0.5,75.38425920490516,44
67,WSC,0.6,75.90186889263553,64
67,WSC,0.7,76.20772171680527,49
68,Joint,0.0,87.63666879250923,39
68,Joint,0.1,85.18645315768138,28
68,Joint,0.2,82.01219512195121,47
68,Joint,0.3,81.71602091149379,47
68,Joint,0.4,78.60132524808702,47
68,Joint,0.5,77.85733982814212,26
68,Joint,0.6,75.38740677467975,31
68,Joint,0.7,71.1713877667324,48
68,No-JEPA,0.0,87.47369905986095,37
68,No-JEPA,0.1,84.88101920216965,38
68,No-JEPA,0.2,82.44712235973529,38
68,No-JEPA,0.3,80.75530803714405,51
68,No-JEPA,0.4,79.13060294566705,52
68,No-JEPA,0.5,77.91195202278631,38
68,No-JEPA,0.6,75.90882070755458,38
68,No-JEPA,0.7,70.89495785328293,37
68,State-JEPA,0.0,86.97102252208249,38
68,State-JEPA,0.1,84.8146526913082,38
68,State-JEPA,0.2,82.36862494136072,68
68,State-JEPA,0.3,81.3705819365953,38
68,State-JEPA,0.4,78.7217232263119,49
68,State-JEPA,0.5,78.2556808312691,38
68,State-JEPA,0.6,76.49423183735594,29
68,State-JEPA,0.7,68.80050423880863,31
68,WSC,0.0,87.49380244088482,43
68,WSC,0.1,84.67693435012515,54
68,WSC,0.2,82.57536484487089,54
68,WSC,0.3,80.53035621947981,48
68,WSC,0.4,78.30009312276005,62
68,WSC,0.5,78.47064069137194,54
68,WSC,0.6,76.60740160466145,54
68,WSC,0.7,68.33133352011792,54
69,Joint,0.0,87.23122621224397,46
69,Joint,0.1,84.45121951219512,92
69,Joint,0.2,81.13335637404957,46
69,Joint,0.3,81.98435447925007,36
69,Joint,0.4,78.15094651794455,37
69,Joint,0.5,76.91318720460049,58
69,Joint,0.6,76.27137164249103,91
69,Joint,0.7,76.4749957953486,56
69,No-JEPA,0.0,87.37267460601196,73
69,No-JEPA,0.1,84.20110330509841,56
69,No-JEPA,0.2,81.52124569154068,83
69,No-JEPA,0.3,81.875979506149,41
69,No-JEPA,0.4,77.7832185337731,81
69,No-JEPA,0.5,76.56345683027924,83
69,No-JEPA,0.6,75.64421181799231,56
69,No-JEPA,0.7,76.19083633039142,35
69,State-JEPA,0.0,87.29426638693444,45
69,State-JEPA,0.1,84.60735980043582,35
69,State-JEPA,0.2,81.4999712036865,77
69,State-JEPA,0.3,81.22605261084733,35
69,State-JEPA,0.4,77.87230191411378,35
69,State-JEPA,0.5,76.17775819359757,35
69,State-JEPA,0.6,75.24961890243902,35
69,State-JEPA,0.7,75.30323088729854,51
69,WSC,0.0,87.18216736211743,42
69,WSC,0.1,83.5111040996526,46
69,WSC,0.2,81.48450023835349,55
69,WSC,0.3,81.78326042771297,40
69,WSC,0.4,77.10083230606934,43
69,WSC,0.5,75.90361129579732,55
69,WSC,0.6,74.43545164600062,46
69,WSC,0.7,75.01501965999343,67
70,Joint,0.0,87.12862485410514,46
70,Joint,0.1,85.14153799043848,53
70,Joint,0.2,80.76295478292805,51
70,Joint,0.3,79.94355621298547,56
70,Joint,0.4,77.65739661899046,78
70,Joint,0.5,75.02329273741954,46
70,Joint,0.6,74.09143725585736,65
70,Joint,0.7,73.92653003197722,53
70,No-JEPA,0.0,87.32449084626343,64
70,No-JEPA,0.1,84.76335075957819,67
70,No-JEPA,0.2,80.86129345275687,64
70,No-JEPA,0.3,80.67080146634045,55
70,No-JEPA,0.4,79.55250507766353,67
70,No-JEPA,0.5,75.45129435759259,65
70,No-JEPA,0.6,75.22913864161006,55
70,No-JEPA,0.7,73.89963411751944,72
70,State-JEPA,0.0,87.68792169263965,36
70,State-JEPA,0.1,84.81938368976081,42
70,State-JEPA,0.2,81.33998142257845,31
70,State-JEPA,0.3,81.04688807687708,45
70,State-JEPA,0.4,77.87533115807706,44
70,State-JEPA,0.5,75.67214173832735,59
70,State-JEPA,0.6,76.02832707362323,45
70,State-JEPA,0.7,74.24251978119426,46
70,WSC,0.0,87.44332536046032,44
70,WSC,0.1,84.32994559541243,61
70,WSC,0.2,81.161556743825,46
70,WSC,0.3,80.2648843078619,46
70,WSC,0.4,77.47927552585135,96
70,WSC,0.5,75.87735599763991,46
70,WSC,0.6,75.73890151510693,61
70,WSC,0.7,73.86930392534718,61
