dataset,seed,rate,mode,section,modality,metric,value
iemocap4,66,0,reference,current_observed_write_fit,audio,err_after,0.0016980130011902009
iemocap4,66,0,reference,current_observed_write_fit,text,err_after,0.002519469842487388
iemocap4,66,0,reference,current_observed_write_fit,visual,err_after,0.001762391734212848
iemocap4,66,0,reference,task,,accuracy,0.8460918614020951
iemocap4,66,0,reference,task,,macro_f1,0.8379682301353619
iemocap4,66,0,reference,task,,weighted_f1,0.8454389899798852
iemocap4,66,0,fixed0.95,current_observed_write_fit,audio,err_after,0.03580037026177273
iemocap4,66,0,fixed0.95,current_observed_write_fit,text,err_after,0.05350939606785755
iemocap4,66,0,fixed0.95,current_observed_write_fit,visual,err_after,0.03567641943766659
iemocap4,66,0,fixed0.95,task,,accuracy,0.8477034649476228
iemocap4,66,0,fixed0.95,task,,macro_f1,0.8391881285310394
iemocap4,66,0,fixed0.95,task,,weighted_f1,0.8469842663007692
iemocap4,66,0,fixed0.9,current_observed_write_fit,audio,err_after,0.06883610797910722
iemocap4,66,0,fixed0.9,current_observed_write_fit,text,err_after,0.10275846410389913
iemocap4,66,0,fixed0.9,current_observed_write_fit,visual,err_after,0.06869331204829499
iemocap4,66,0,fixed0.9,task,,accuracy,0.8444802578565673
iemocap4,66,0,fixed0.9,task,,macro_f1,0.8359231444981616
iemocap4,66,0,fixed0.9,task,,weighted_f1,0.8437706097340507
iemocap4,66,0,fixed0.8,current_observed_write_fit,audio,err_after,0.13197512983122733
iemocap4,66,0,fixed0.8,current_observed_write_fit,text,err_after,0.19654581967499601
iemocap4,66,0,fixed0.8,current_observed_write_fit,visual,err_after,0.1323014886207964
iemocap4,66,0,fixed0.8,task,,accuracy,0.8525382755842063
iemocap4,66,0,fixed0.8,task,,macro_f1,0.8450494512539869
iemocap4,66,0,fixed0.8,task,,weighted_f1,0.8519495763733005
iemocap4,66,0.1,reference,current_observed_write_fit,audio,err_after,0.0016838493379181263
iemocap4,66,0.1,reference,current_observed_write_fit,text,err_after,0.0024878186644111547
iemocap4,66,0.1,reference,current_observed_write_fit,visual,err_after,0.0017301976238114955
iemocap4,66,0.1,reference,retention,audio,err_decay,0.04435445681883721
iemocap4,66,0.1,reference,retention,text,err_decay,0.058692918971425645
iemocap4,66,0.1,reference,retention,visual,err_decay,0.06397389648440252
iemocap4,66,0.1,reference,task,,accuracy,0.8412570507655117
iemocap4,66,0.1,reference,task,,macro_f1,0.8362998238271743
iemocap4,66,0.1,reference,task,,weighted_f1,0.8408210882392156
iemocap4,66,0.1,fixed0.95,current_observed_write_fit,audio,err_after,0.03627740251273274
iemocap4,66,0.1,fixed0.95,current_observed_write_fit,text,err_after,0.05375016919061056
iemocap4,66,0.1,fixed0.95,current_observed_write_fit,visual,err_after,0.035909791055296625
iemocap4,66,0.1,fixed0.95,retention,audio,err_decay,0.06961998663336999
iemocap4,66,0.1,fixed0.95,retention,text,err_decay,0.09775950577123647
iemocap4,66,0.1,fixed0.95,retention,visual,err_decay,0.08828373971974125
iemocap4,66,0.1,fixed0.95,task,,accuracy,0.8436744560838034
iemocap4,66,0.1,fixed0.95,task,,macro_f1,0.8383976916709637
iemocap4,66,0.1,fixed0.95,task,,weighted_f1,0.8432759884872139
iemocap4,66,0.1,fixed0.9,current_observed_write_fit,audio,err_after,0.06972926299813513
iemocap4,66,0.1,fixed0.9,current_observed_write_fit,text,err_after,0.10326998816992655
iemocap4,66,0.1,fixed0.9,current_observed_write_fit,visual,err_after,0.06916223417703583
iemocap4,66,0.1,fixed0.9,retention,audio,err_decay,0.09953777540431474
iemocap4,66,0.1,fixed0.9,retention,text,err_decay,0.14050876906644688
iemocap4,66,0.1,fixed0.9,retention,visual,err_decay,0.11632740711541595
iemocap4,66,0.1,fixed0.9,task,,accuracy,0.8444802578565673
iemocap4,66,0.1,fixed0.9,task,,macro_f1,0.8387641123907601
iemocap4,66,0.1,fixed0.9,task,,weighted_f1,0.8440516122335012
iemocap4,66,0.1,fixed0.8,current_observed_write_fit,audio,err_after,0.13355731008213353
iemocap4,66,0.1,fixed0.8,current_observed_write_fit,text,err_after,0.19760006235404562
iemocap4,66,0.1,fixed0.8,current_observed_write_fit,visual,err_after,0.13326682189156977
iemocap4,66,0.1,fixed0.8,retention,audio,err_decay,0.159753681091388
iemocap4,66,0.1,fixed0.8,retention,text,err_decay,0.22539347453369168
iemocap4,66,0.1,fixed0.8,retention,visual,err_decay,0.17324379618229294
iemocap4,66,0.1,fixed0.8,task,,accuracy,0.8477034649476228
iemocap4,66,0.1,fixed0.8,task,,macro_f1,0.8426501836588632
iemocap4,66,0.1,fixed0.8,task,,weighted_f1,0.8473275338412362
iemocap4,66,0.3,reference,current_observed_write_fit,audio,err_after,0.0016802865248536597
iemocap4,66,0.3,reference,current_observed_write_fit,text,err_after,0.002406774749267671
iemocap4,66,0.3,reference,current_observed_write_fit,visual,err_after,0.001695038829102375
iemocap4,66,0.3,reference,retention,audio,err_decay,0.11142487331491077
iemocap4,66,0.3,reference,retention,text,err_decay,0.0993295224269328
iemocap4,66,0.3,reference,retention,visual,err_decay,0.09807007357784031
iemocap4,66,0.3,reference,task,,accuracy,0.8162771958098308
iemocap4,66,0.3,reference,task,,macro_f1,0.8028561793752422
iemocap4,66,0.3,reference,task,,weighted_f1,0.8158030003404434
iemocap4,66,0.3,fixed0.95,current_observed_write_fit,audio,err_after,0.03779853792101298
iemocap4,66,0.3,fixed0.95,current_observed_write_fit,text,err_after,0.05384624947145803
iemocap4,66,0.3,fixed0.95,current_observed_write_fit,visual,err_after,0.03684556165333494
iemocap4,66,0.3,fixed0.95,retention,audio,err_decay,0.13166427523245364
iemocap4,66,0.3,fixed0.95,retention,text,err_decay,0.133127874389296
iemocap4,66,0.3,fixed0.95,retention,visual,err_decay,0.11946422043440814
iemocap4,66,0.3,fixed0.95,task,,accuracy,0.8186946011281225
iemocap4,66,0.3,fixed0.95,task,,macro_f1,0.805899510661104
iemocap4,66,0.3,fixed0.95,task,,weighted_f1,0.8181484256775409
iemocap4,66,0.3,fixed0.9,current_observed_write_fit,audio,err_after,0.0727401256745356
iemocap4,66,0.3,fixed0.9,current_observed_write_fit,text,err_after,0.10361740920604368
iemocap4,66,0.3,fixed0.9,current_observed_write_fit,visual,err_after,0.07103611557685262
iemocap4,66,0.3,fixed0.9,retention,audio,err_decay,0.15605430717172086
iemocap4,66,0.3,fixed0.9,retention,text,err_decay,0.17099715649113992
iemocap4,66,0.3,fixed0.9,retention,visual,err_decay,0.14478968213110222
iemocap4,66,0.3,fixed0.9,task,,accuracy,0.8211120064464141
iemocap4,66,0.3,fixed0.9,task,,macro_f1,0.8087519012323335
iemocap4,66,0.3,fixed0.9,task,,weighted_f1,0.820588248729996
iemocap4,66,0.3,fixed0.8,current_observed_write_fit,audio,err_after,0.139539071283381
iemocap4,66,0.3,fixed0.8,current_observed_write_fit,text,err_after,0.19871186731348414
iemocap4,66,0.3,fixed0.8,current_observed_write_fit,visual,err_after,0.1370413555809605
iemocap4,66,0.3,fixed0.8,retention,audio,err_decay,0.20663208361412336
iemocap4,66,0.3,fixed0.8,retention,text,err_decay,0.24804787993078278
iemocap4,66,0.3,fixed0.8,retention,visual,err_decay,0.19767925139691386
iemocap4,66,0.3,fixed0.8,task,,accuracy,0.8283642224012893
iemocap4,66,0.3,fixed0.8,task,,macro_f1,0.8164060919394458
iemocap4,66,0.3,fixed0.8,task,,weighted_f1,0.8278855814202678
iemocap4,66,0.5,reference,current_observed_write_fit,audio,err_after,0.0016740719236601027
iemocap4,66,0.5,reference,current_observed_write_fit,text,err_after,0.0023144999787350086
iemocap4,66,0.5,reference,current_observed_write_fit,visual,err_after,0.001673088588978112
iemocap4,66,0.5,reference,retention,audio,err_decay,0.14541174902704737
iemocap4,66,0.5,reference,retention,text,err_decay,0.1620689082593101
iemocap4,66,0.5,reference,retention,visual,err_decay,0.16112056812068648
iemocap4,66,0.5,reference,task,,accuracy,0.8033843674456084
iemocap4,66,0.5,reference,task,,macro_f1,0.7943652480052412
iemocap4,66,0.5,reference,task,,weighted_f1,0.8032392403302838
iemocap4,66,0.5,fixed0.95,current_observed_write_fit,audio,err_after,0.03894702722841646
iemocap4,66,0.5,fixed0.95,current_observed_write_fit,text,err_after,0.0537978482987338
iemocap4,66,0.5,fixed0.95,current_observed_write_fit,visual,err_after,0.038284212781482266
iemocap4,66,0.5,fixed0.95,retention,audio,err_decay,0.16050592138288686
iemocap4,66,0.5,fixed0.95,retention,text,err_decay,0.18967208015048473
iemocap4,66,0.5,fixed0.95,retention,visual,err_decay,0.1759464610372239
iemocap4,66,0.5,fixed0.95,task,,accuracy,0.8033843674456084
iemocap4,66,0.5,fixed0.95,task,,macro_f1,0.7947624669858764
iemocap4,66,0.5,fixed0.95,task,,weighted_f1,0.8031441614686401
iemocap4,66,0.5,fixed0.9,current_observed_write_fit,audio,err_after,0.0749507921814906
iemocap4,66,0.5,fixed0.9,current_observed_write_fit,text,err_after,0.10364374619799721
iemocap4,66,0.5,fixed0.9,current_observed_write_fit,visual,err_after,0.07389429276226152
iemocap4,66,0.5,fixed0.9,retention,audio,err_decay,0.18000150336180665
iemocap4,66,0.5,fixed0.9,retention,text,err_decay,0.22150051138822616
iemocap4,66,0.5,fixed0.9,retention,visual,err_decay,0.19484905932206803
iemocap4,66,0.5,fixed0.9,task,,accuracy,0.8025785656728445
iemocap4,66,0.5,fixed0.9,task,,macro_f1,0.7929104435092051
iemocap4,66,0.5,fixed0.9,task,,weighted_f1,0.802334256776101
iemocap4,66,0.5,fixed0.8,current_observed_write_fit,audio,err_after,0.14375465563751363
iemocap4,66,0.5,fixed0.8,current_observed_write_fit,text,err_after,0.19903277395735738
iemocap4,66,0.5,fixed0.8,current_observed_write_fit,visual,err_after,0.14274968294714455
iemocap4,66,0.5,fixed0.8,retention,audio,err_decay,0.22271267223559796
iemocap4,66,0.5,fixed0.8,retention,text,err_decay,0.288374139524778
iemocap4,66,0.5,fixed0.8,retention,visual,err_decay,0.2368651492797521
iemocap4,66,0.5,fixed0.8,task,,accuracy,0.8074133763094279
iemocap4,66,0.5,fixed0.8,task,,macro_f1,0.7991774852691604
iemocap4,66,0.5,fixed0.8,task,,weighted_f1,0.8071845260981086
iemocap4,66,0.7,reference,current_observed_write_fit,audio,err_after,0.0016337342993849497
iemocap4,66,0.7,reference,current_observed_write_fit,text,err_after,0.0022660098439759367
iemocap4,66,0.7,reference,current_observed_write_fit,visual,err_after,0.0016604124146329788
iemocap4,66,0.7,reference,retention,audio,err_decay,0.21437326634409654
iemocap4,66,0.7,reference,retention,text,err_decay,0.19952161211430397
iemocap4,66,0.7,reference,retention,visual,err_decay,0.22749406436123326
iemocap4,66,0.7,reference,task,,accuracy,0.7848509266720387
iemocap4,66,0.7,reference,task,,macro_f1,0.773567065038815
iemocap4,66,0.7,reference,task,,weighted_f1,0.7839118954933189
iemocap4,66,0.7,fixed0.95,current_observed_write_fit,audio,err_after,0.03931707897717186
iemocap4,66,0.7,fixed0.95,current_observed_write_fit,text,err_after,0.05473205980883779
iemocap4,66,0.7,fixed0.95,current_observed_write_fit,visual,err_after,0.039718425590817896
iemocap4,66,0.7,fixed0.95,retention,audio,err_decay,0.22533175379183465
iemocap4,66,0.7,fixed0.95,retention,text,err_decay,0.22411654774821294
iemocap4,66,0.7,fixed0.95,retention,visual,err_decay,0.23857564989638844
iemocap4,66,0.7,fixed0.95,task,,accuracy,0.7872683319903304
iemocap4,66,0.7,fixed0.95,task,,macro_f1,0.7764592972695082
iemocap4,66,0.7,fixed0.95,task,,weighted_f1,0.786413531138928
iemocap4,66,0.7,fixed0.9,current_observed_write_fit,audio,err_after,0.07569289896475019
iemocap4,66,0.7,fixed0.9,current_observed_write_fit,text,err_after,0.10558589101734853
iemocap4,66,0.7,fixed0.9,current_observed_write_fit,visual,err_after,0.07674718423844977
iemocap4,66,0.7,fixed0.9,retention,audio,err_decay,0.2404413841773117
iemocap4,66,0.7,fixed0.9,retention,text,err_decay,0.2530685158701771
iemocap4,66,0.7,fixed0.9,retention,visual,err_decay,0.25368194623095086
iemocap4,66,0.7,fixed0.9,task,,accuracy,0.790491539081386
iemocap4,66,0.7,fixed0.9,task,,macro_f1,0.7797908155541424
iemocap4,66,0.7,fixed0.9,task,,weighted_f1,0.7897954701405597
iemocap4,66,0.7,fixed0.8,current_observed_write_fit,audio,err_after,0.14530269392874476
iemocap4,66,0.7,fixed0.8,current_observed_write_fit,text,err_after,0.2030309822444522
iemocap4,66,0.7,fixed0.8,current_observed_write_fit,visual,err_after,0.14849231310584443
iemocap4,66,0.7,fixed0.8,retention,audio,err_decay,0.27549149442866466
iemocap4,66,0.7,fixed0.8,retention,text,err_decay,0.3154746520099458
iemocap4,66,0.7,fixed0.8,retention,visual,err_decay,0.2895017242159849
iemocap4,66,0.7,fixed0.8,task,,accuracy,0.7921031426269137
iemocap4,66,0.7,fixed0.8,task,,macro_f1,0.7810875315624504
iemocap4,66,0.7,fixed0.8,task,,weighted_f1,0.7916942296061619
iemocap4,66,all,reference,current_observed_write_fit,audio,err_after,0.001673991017401408
iemocap4,66,all,reference,current_observed_write_fit,text,err_after,0.0023989146157754318
iemocap4,66,all,reference,current_observed_write_fit,visual,err_after,0.0017042258381475617
iemocap4,66,all,reference,task,,accuracy,0.818372280419017
iemocap4,66,all,reference,task,,macro_f1,0.8090113092763669
iemocap4,66,all,reference,task,,weighted_f1,0.8178428428766293
iemocap4,66,all,fixed0.95,current_observed_write_fit,audio,err_after,0.037628083380221354
iemocap4,66,all,fixed0.95,current_observed_write_fit,text,err_after,0.053927144567499544
iemocap4,66,all,fixed0.95,current_observed_write_fit,visual,err_after,0.037286882103719665
iemocap4,66,all,fixed0.95,task,,accuracy,0.8201450443190975
iemocap4,66,all,fixed0.95,task,,macro_f1,0.8109414190236983
iemocap4,66,all,fixed0.95,task,,weighted_f1,0.8195932746146184
iemocap4,66,all,fixed0.9,current_observed_write_fit,audio,err_after,0.07238983755960375
iemocap4,66,all,fixed0.9,current_observed_write_fit,text,err_after,0.10377509973904302
iemocap4,66,all,fixed0.9,current_observed_write_fit,visual,err_after,0.07190662776057895
iemocap4,66,all,fixed0.9,task,,accuracy,0.8206285253827559
iemocap4,66,all,fixed0.9,task,,macro_f1,0.8112280834369205
iemocap4,66,all,fixed0.9,task,,weighted_f1,0.8201080395228417
iemocap4,66,all,fixed0.8,current_observed_write_fit,audio,err_after,0.13882577215260006
iemocap4,66,all,fixed0.8,current_observed_write_fit,text,err_after,0.19898430110886708
iemocap4,66,all,fixed0.8,current_observed_write_fit,visual,err_after,0.13877033242926312
iemocap4,66,all,fixed0.8,task,,accuracy,0.825624496373892
iemocap4,66,all,fixed0.8,task,,macro_f1,0.8168741487367813
iemocap4,66,all,fixed0.8,task,,weighted_f1,0.825208289467815
iemocap4,67,0,reference,current_observed_write_fit,audio,err_after,0.0017071196970091867
iemocap4,67,0,reference,current_observed_write_fit,text,err_after,0.002586122382817731
iemocap4,67,0,reference,current_observed_write_fit,visual,err_after,0.0017087817484591947
iemocap4,67,0,reference,task,,accuracy,0.8412570507655117
iemocap4,67,0,reference,task,,macro_f1,0.8453483750001073
iemocap4,67,0,reference,task,,weighted_f1,0.8417743594232616
iemocap4,67,0,fixed0.95,current_observed_write_fit,audio,err_after,0.03874183334617506
iemocap4,67,0,fixed0.95,current_observed_write_fit,text,err_after,0.05650707065631256
iemocap4,67,0,fixed0.95,current_observed_write_fit,visual,err_after,0.03527197191155727
iemocap4,67,0,fixed0.95,task,,accuracy,0.8412570507655117
iemocap4,67,0,fixed0.95,task,,macro_f1,0.8458339314519386
iemocap4,67,0,fixed0.95,task,,weighted_f1,0.8418991188034443
iemocap4,67,0,fixed0.9,current_observed_write_fit,audio,err_after,0.07451904995635596
iemocap4,67,0,fixed0.9,current_observed_write_fit,text,err_after,0.10849127060589553
iemocap4,67,0,fixed0.9,current_observed_write_fit,visual,err_after,0.0678226510661893
iemocap4,67,0,fixed0.9,task,,accuracy,0.8404512489927478
iemocap4,67,0,fixed0.9,task,,macro_f1,0.8452372112022062
