dataset,seed,rate,eta1,eta095,eta090,eta080,delta_1_to_095,delta_095_to_090,delta_090_to_080,delta_1_to_090
iemocap4,66,0,0.8454389899798852,0.8469842663007692,0.8437706097340507,0.8519495763733005,0.0015452763208839704,-0.003213656566718459,0.008178966639249774,-0.0016683802458344887
iemocap4,66,0.1,0.8408210882392156,0.8432759884872139,0.8440516122335012,0.8473275338412362,0.002454900247998215,0.0007756237462873683,0.003275921607734933,0.0032305239942855835
iemocap4,66,0.3,0.8158030003404434,0.8181484256775409,0.820588248729996,0.8278855814202678,0.002345425337097473,0.002439823052455159,0.007297332690271774,0.004785248389552632
iemocap4,66,0.5,0.8032392403302838,0.8031441614686401,0.802334256776101,0.8071845260981086,-9.507886164372703e-05,-0.0008099046925390541,0.004850269322007605,-0.0009049835541827811
iemocap4,66,0.7,0.7839118954933189,0.786413531138928,0.7897954701405597,0.7916942296061619,0.0025016356456091238,0.0033819390016317508,0.00189875946560214,0.0058835746472408745
iemocap4,66,all,0.8178428428766293,0.8195932746146184,0.8201080395228417,0.825208289467815,0.0017504317379890555,0.0005147649082233308,0.0051002499449732674,0.0022651966462123863
iemocap4,67,0,0.8417743594232616,0.8418991188034443,0.8411723724028448,0.8451983757743234,0.00012475938018263744,-0.0007267464005994428,0.004026003371478626,-0.0006019870204168054
iemocap4,67,0.1,0.8411303755744274,0.8434811351746078,0.8427534769494421,0.8429107898122631,0.0023507596001803854,-0.0007276582251656283,0.00015731286282094636,0.0016231013750147572
iemocap4,67,0.3,0.8197877493862005,0.8197817672597055,0.820562405425418,0.8206449822326101,-5.98212649494112e-06,0.0007806381657124994,8.25768071920363e-05,0.0007746560392175583
iemocap4,67,0.5,0.8027645335254173,0.8027536487902036,0.8035436358619287,0.8053172147040792,-1.0884735213712027e-05,0.0007899870717250623,0.0017735788421505694,0.0007791023365113503
iemocap4,67,0.7,0.7668884007427463,0.7692650028471948,0.7692676987801699,0.7734669927872841,0.0023766021044484553,2.695932975083082e-06,0.004199294007114274,0.0023792980374235384
iemocap4,67,all,0.8144690837304106,0.8154361345750312,0.8154599178839607,0.817507671062112,0.000967050844620565,2.378330892949254e-05,0.0020477531781513125,0.0009908341535500576
iemocap4,68,0,0.8505238739937976,0.8513427648803147,0.8529535945446661,0.8545307241458109,0.0008188908865170985,0.001610829664351443,0.0015771296011447555,0.0024297205508685416
iemocap4,68,0.1,0.8439417711804842,0.8455144275725024,0.8455302732100793,0.8462619595610199,0.0015726563920182013,1.584563757695001e-05,0.0007316863509405636,0.0015885020295951513
iemocap4,68,0.3,0.815656324984252,0.8171769880564912,0.8148345286837637,0.8179584385632557,0.0015206630722391923,-0.002342459372727479,0.0031239098794919595,-0.0008217963004882867
iemocap4,68,0.5,0.7804179349207927,0.7827360142251828,0.7866089072196257,0.7873600207794311,0.002318079304390097,0.0038728929944429336,0.0007511135598053942,0.006190972298833031
iemocap4,68,0.7,0.7918032800515314,0.7917618763074654,0.7917821858417068,0.7926247294197593,-4.140374406602643e-05,2.0309534241369498e-05,0.0008425435780524682,-2.109420982465693e-05
iemocap4,68,all,0.8164686370261716,0.8177064142083913,0.8183418978999684,0.8197471744938554,0.0012377771822197348,0.0006354836915770656,0.001405276593887006,0.0018732608737968004
iemocap4,69,0,0.8402846788891568,0.8411737327799927,0.8428522945797222,0.848420235099717,0.0008890538908359336,0.0016785617997294722,0.005567940519994763,0.0025676156905654057
iemocap4,69,0.1,0.8283811945469287,0.8323016011200094,0.8339502142813225,0.8388167910828295,0.003920406573080681,0.0016486131613131505,0.004866576801506928,0.005569019734393832
iemocap4,69,0.3,0.8182524477117213,0.8225240563561961,0.8218133943978834,0.8243194292093472,0.004271608644474734,-0.0007106619583127083,0.002506034811463831,0.0035609466861620254
iemocap4,69,0.5,0.8035708739115069,0.8036889084174481,0.8068700765572172,0.809190983232406,0.00011803450594116693,0.003181168139769097,0.0023209066751888052,0.003299202645710264
iemocap4,69,0.7,0.753449623298715,0.7565882496118913,0.7589299994229325,0.7641747243633474,0.003138626313176296,0.0023417498110411827,0.0052447249404149465,0.005480376124217479
iemocap4,69,all,0.8087877636716058,0.8112553096571076,0.8128831958478155,0.8169844325975294,0.0024675459855018067,0.0016278861907079722,0.004101236749713855,0.004095432176209779
iemocap4,70,0,0.8386958500566759,0.8411858425878925,0.8428207613235316,0.8485847478797827,0.0024899925312166227,0.001634918735639035,0.0057639865562510995,0.0041249112668556576
iemocap4,70,0.1,0.8419318815887809,0.8433704198301196,0.844183793142904,0.8417969650846363,0.0014385382413387715,0.0008133733127844156,-0.0023868280582677315,0.002251911554123187
iemocap4,70,0.3,0.8301643464268517,0.8310080439466699,0.8318266382498141,0.8351763201008807,0.0008436975198182761,0.0008185943031441267,0.003349681851066655,0.0016622918229624029
iemocap4,70,0.5,0.8159117239494522,0.8175444426701726,0.8175694396340316,0.8175728000372404,0.0016327187207203497,2.4996963859047483e-05,3.360403208807483e-06,0.0016577156845793972
iemocap4,70,0.7,0.7914557993276369,0.7954721323756607,0.7963415529668214,0.80058978906221,0.004016333048023846,0.0008694205911606856,0.004248236095388602,0.004885753639184531
iemocap4,70,all,0.8236319202698795,0.825716176282103,0.8265484370634205,0.82874412443295,0.0020842560122235065,0.0008322607813174843,0.0021956873695294643,0.002916516793540991
mosi,66,0,0.8618038693898497,0.8618038693898497,0.8618038693898497,0.863289318284183,0.0,0.0,0.00148544889433333,0.0
mosi,66,0.1,0.8443722109322784,0.8443722109322784,0.8459758877379259,0.8475774885721434,0.0,0.001603676805647436,0.0016016008342175647,0.001603676805647436
mosi,66,0.3,0.7814912333931301,0.782956298944883,0.7845473000589603,0.788944587497823,0.0014650655517528532,0.001591001114077395,0.004397287438862696,0.0030560666658302482
mosi,66,0.5,0.7535393841321018,0.753380166645422,0.7532158383594445,0.7519291107798257,-0.00015921748667979685,-0.0001643282859774553,-0.001286727579618785,-0.00032354577265725215
mosi,66,0.7,0.7477268800502702,0.7461217501785407,0.7509305667348266,0.7509305667348266,-0.0016051298717295603,0.004808816556285955,0.0,0.003203686684556395
mosi,66,all,0.7977867155795261,0.7977268592181948,0.7992946924562014,0.8005342143737604,-5.9856361331322994e-05,0.0015678332380066884,0.001239521917558939,0.0015079768766753654
mosi,67,0,0.8778600303677971,0.8778600303677971,0.8762992480177516,0.8762992480177516,0.0,-0.001560782350045531,0.0,-0.001560782350045531
mosi,67,0.1,0.8578929000388889,0.8593801373445722,0.8563231838085844,0.8578929000388889,0.0014872373056833421,-0.003056953535987783,0.001569716230304441,-0.001569716230304441
mosi,67,0.3,0.7942413166471095,0.7942413166471095,0.7927806513627974,0.7973123417717793,0.0,-0.0014606652843121015,0.0045316904089819365,-0.0014606652843121015
mosi,67,0.5,0.7625709678884498,0.7640247889919275,0.761116921491684,0.7593471218784644,0.0014538211034776927,-0.0029078675002435217,-0.001769799613219547,-0.001454046396765829
mosi,67,0.7,0.7479901051329622,0.7492397436862369,0.7492397436862369,0.7459624809535723,0.0012496385532747567,0.0,-0.0032772627326645987,0.0012496385532747567
mosi,67,all,0.8081110640150415,0.8089492034075286,0.8071519496734109,0.8073628185320914,0.0008381393924871139,-0.0017972537341177652,0.00021086885868049077,-0.0009591143416306513
mosi,68,0,0.8670611000363799,0.8670611000363799,0.8670611000363799,0.8670611000363799,0.0,0.0,0.0,0.0
mosi,68,0.1,0.8496276455679538,0.8496276455679538,0.8481465269130819,0.8481465269130819,0.0,-0.0014811186548718824,0.0,-0.0014811186548718824
mosi,68,0.3,0.8047724935213554,0.8079906155676728,0.8126674673951294,0.8142700652955445,0.00321812204631744,0.004676851827456585,0.0016025979004150592,0.007894973873774025
mosi,68,0.5,0.7798341501597627,0.7830846862561928,0.784366242833096,0.7812857605878547,0.003250536096430112,0.001281556576903209,-0.0030804822452412672,0.004532092673333321
mosi,68,0.7,0.6714424564330259,0.674542055900639,0.6810435949819378,0.6864029611992165,0.003099599467613068,0.006501539081298802,0.005359366217278727,0.00960113854891187
mosi,68,all,0.7945475691436955,0.7964612206657676,0.798656986431925,0.7994332828064155,0.001913651522072124,0.0021957657661573204,0.0007762963744905038,0.004109417288229444
mosi,69,0,0.8644587812093748,0.8644587812093748,0.8644587812093748,0.864347508859704,0.0,0.0,-0.00011127234967078792,0.0
mosi,69,0.1,0.8300799480662315,0.8300799480662315,0.8284942000453116,0.8269065765896441,0.0,-0.0015857480209199304,-0.0015876234556675417,-0.0015857480209199304
mosi,69,0.3,0.8062570022681226,0.8046806455179799,0.8032059314376995,0.8047813063942996,-0.0015763567501426712,-0.001474714080280437,0.0015753749566000952,-0.0030510708304231082
mosi,69,0.5,0.7786811080140539,0.77378543833692,0.7735113573070099,0.7736507170266508,-0.00489566967713384,-0.0002740810299101115,0.00013935971964085248,-0.005169750707043952
mosi,69,0.7,0.741316002661806,0.7457201532598752,0.7457201532598752,0.7471869874641247,0.004404150598069201,0.0,0.0014668342042495341,0.004404150598069201
mosi,69,all,0.8041585684439178,0.8037449932780762,0.8030780846518542,0.8033746192668846,-0.00041357516584150655,-0.0006669086262220958,0.00029653461503043044,-0.0010804837920636023
mosi,70,0,0.8681324871435941,0.8681324871435941,0.8681324871435941,0.8696207554304238,0.0,0.0,0.001488268286829686,0.0
mosi,70,0.1,0.8578929000388889,0.8578929000388889,0.856405818491089,0.851780766707228,0.0,-0.0014870815477998622,-0.004625051783860967,-0.0014870815477998622
mosi,70,0.3,0.7942567894117657,0.7958289001783474,0.7943526567638725,0.7974897028955892,0.0015721107665817025,-0.0014762434144749426,0.0031370461317167253,9.58673521067599e-05
mosi,70,0.5,0.7414546858936947,0.7400042019900719,0.7414546858936947,0.7441893654023944,-0.0014504839036227901,0.0014504839036227901,0.0027346795086997666,0.0
mosi,70,0.7,0.7318349733685757,0.7379296330647445,0.73488230321666,0.7335390827573542,0.006094659696168736,-0.0030473298480844235,-0.001343220459305794,0.0030473298480843125
mosi,70,all,0.7987143671713038,0.7999576244831293,0.799045590301782,0.799323934638598,0.0012432573118255075,-0.000912034181347332,0.00027834433681594994,0.0003312231304781754
