dataset,rate,mode,section,modality,metric,n_seeds,mean,sample_std
iemocap4,0,fixed0.8,current_observed_write_fit,audio,err_after,5,0.13554215481786033,0.008143085800598322
iemocap4,0,fixed0.8,current_observed_write_fit,text,err_after,5,0.20370595968918653,0.004594379116257259
iemocap4,0,fixed0.8,current_observed_write_fit,visual,err_after,5,0.1287431078400886,0.006690308606864353
iemocap4,0,fixed0.8,task,,accuracy,5,0.849798549556809,0.0037623263593646017
iemocap4,0,fixed0.8,task,,macro_f1,5,0.8469221329355962,0.004761460817039343
iemocap4,0,fixed0.8,task,,weighted_f1,5,0.8497367318545869,0.0035894271704329387
iemocap4,0,fixed0.9,current_observed_write_fit,audio,err_after,5,0.070710715922818,0.004269317830707254
iemocap4,0,fixed0.9,current_observed_write_fit,text,err_after,5,0.10654878981817081,0.0024223505161955843
iemocap4,0,fixed0.9,current_observed_write_fit,visual,err_after,5,0.06693815583053891,0.0035842603934910996
iemocap4,0,fixed0.9,task,,accuracy,5,0.8448025785656729,0.0045796203830403654
iemocap4,0,fixed0.9,task,,macro_f1,5,0.8416671782889392,0.006647666751659232
iemocap4,0,fixed0.9,task,,weighted_f1,5,0.8447139265169631,0.00470038108088801
iemocap4,0,fixed0.95,current_observed_write_fit,audio,err_after,5,0.03677191198480083,0.002221301552869803
iemocap4,0,fixed0.95,current_observed_write_fit,text,err_after,5,0.05548049445498631,0.0012609970525354643
iemocap4,0,fixed0.95,current_observed_write_fit,visual,err_after,5,0.034783695105215,0.0018810827052267822
iemocap4,0,fixed0.95,task,,accuracy,5,0.84464141821112,0.004428245500091526
iemocap4,0,fixed0.95,task,,macro_f1,5,0.8412779018740765,0.006073887137069591
iemocap4,0,fixed0.95,task,,weighted_f1,5,0.8445171450704827,0.004522328395387574
iemocap4,0,reference,current_observed_write_fit,audio,err_after,5,0.0017162201370061333,7.70518854147612e-05
iemocap4,0,reference,current_observed_write_fit,text,err_after,5,0.0025622680165603598,6.0197878205885264e-05
iemocap4,0,reference,current_observed_write_fit,visual,err_after,5,0.001679648159369458,8.8084097799179e-05
iemocap4,0,reference,task,,accuracy,5,0.8435132957292506,0.004464752675969378
iemocap4,0,reference,task,,macro_f1,5,0.8400724013267017,0.006084817745323809
iemocap4,0,reference,task,,weighted_f1,5,0.8433435504685555,0.004726734805001648
iemocap4,0.1,fixed0.8,current_observed_write_fit,audio,err_after,5,0.1371139779524593,0.007988624851778677
iemocap4,0.1,fixed0.8,current_observed_write_fit,text,err_after,5,0.20403480317705971,0.004407664476023791
iemocap4,0.1,fixed0.8,current_observed_write_fit,visual,err_after,5,0.1308738562987591,0.0059074884894607495
iemocap4,0.1,fixed0.8,retention,audio,err_decay,5,0.1623172158585505,0.012711028826585927
iemocap4,0.1,fixed0.8,retention,text,err_decay,5,0.2288103590336596,0.006586642135457952
iemocap4,0.1,fixed0.8,retention,visual,err_decay,5,0.16274678690035616,0.00803307055244175
iemocap4,0.1,fixed0.8,task,,accuracy,5,0.8435132957292506,0.0034845686237614075
iemocap4,0.1,fixed0.8,task,,macro_f1,5,0.8407086215357578,0.0052704448671299755
iemocap4,0.1,fixed0.8,task,,weighted_f1,5,0.843422807876397,0.0034434207241103984
iemocap4,0.1,fixed0.9,current_observed_write_fit,audio,err_after,5,0.07154592425831742,0.004161271469161085
iemocap4,0.1,fixed0.9,current_observed_write_fit,text,err_after,5,0.10664498119086133,0.002300658684597152
iemocap4,0.1,fixed0.9,current_observed_write_fit,visual,err_after,5,0.06802820469165552,0.003151835109929809
iemocap4,0.1,fixed0.9,retention,audio,err_decay,5,0.10294117391463557,0.00857481417414609
iemocap4,0.1,fixed0.9,retention,text,err_decay,5,0.13995429606026938,0.005783540478406002
iemocap4,0.1,fixed0.9,retention,visual,err_decay,5,0.10752049980947648,0.00638608157078698
iemocap4,0.1,fixed0.9,task,,accuracy,5,0.8422240128928284,0.004780788710456531
iemocap4,0.1,fixed0.9,task,,macro_f1,5,0.8393504124251792,0.00721775296821218
iemocap4,0.1,fixed0.9,task,,weighted_f1,5,0.8420938739634498,0.00465734930540822
iemocap4,0.1,fixed0.95,current_observed_write_fit,audio,err_after,5,0.037206843273901884,0.002159370786592513
iemocap4,0.1,fixed0.95,current_observed_write_fit,text,err_after,5,0.055499282310416606,0.0011933406938864524
iemocap4,0.1,fixed0.95,current_observed_write_fit,visual,err_after,5,0.03533980926831496,0.001651232180322674
iemocap4,0.1,fixed0.95,retention,audio,err_decay,5,0.07356428776433696,0.007301342191402202
iemocap4,0.1,fixed0.95,retention,text,err_decay,5,0.09471543424184774,0.005972575230827075
