dataset,rate,peak_eta,lower_eta,higher_eta,location,tied_sampled_peaks,mean_vs_lower,std_vs_lower,positive_vs_lower,mean_vs_higher,std_vs_higher,positive_vs_higher
iemocap4,0,0.6,0.4,0.8,interior sampled peak,1,0.0028495106550804118,0.0029250678993385727,3,0.0020704172789703713,0.002251099502137964,5
iemocap4,0.1,0.6,0.4,0.8,interior sampled peak,1,0.0008543167221289228,0.004459397413624167,3,0.0030916788056104317,0.0026482307746888826,5
iemocap4,0.3,0.4,0.2,0.6,interior sampled peak,1,0.012097631602063275,0.007434524671573451,5,0.00025108131898501365,0.005734229400317205,2
iemocap4,0.5,0.6,0.4,0.8,interior sampled peak,1,0.004013635236676127,0.003154898940920844,4,0.002049557238742761,0.0037439796158639013,2
iemocap4,0.7,0.6,0.4,0.8,interior sampled peak,1,0.0024836975607153587,0.0028197536902320086,4,0.0023092336136190106,0.007409289844462672,3
iemocap4,all,0.6,0.4,0.8,interior sampled peak,1,0.0019900157711231436,0.0025947640188788046,4,0.0019418782147182512,0.002825042950349237,4
mosi,0,0.2,0.0,0.4,interior sampled peak,1,0.001992341581606305,0.007935074590712887,2,0.001278576598407577,0.0012114346844888143,5
mosi,0.1,0.2,0.0,0.4,interior sampled peak,1,0.010160596328875537,0.0034172649901548133,5,0.000367009535504037,0.0022190730713969376,2
mosi,0.3,0.4,0.2,0.6,interior sampled peak,1,0.004753747140665121,0.007998432513379495,4,0.0018915229137236311,0.005441457444281252,3
mosi,0.5,1.0,0.95,,upper tested boundary; no interior optimum established,1,0.0003602027735057245,0.0030873810048019394,3,,,
mosi,0.7,0.6,0.4,0.8,interior sampled peak,1,0.0006526679567020021,0.0057657696149064335,3,0.0022595806069632294,0.0020534639965337272,4
mosi,all,0.6,0.4,0.8,interior sampled peak,1,0.00025056404201140303,0.002218123156898852,3,0.0014947363494131505,0.0013724983697031771,4
