dataset,seed,rate,higher_eta,lower_eta,lower_minus_higher
iemocap4,66,0,1.0,0.95,0.0015452763208839704
iemocap4,66,0,0.95,0.9,-0.003213656566718459
iemocap4,66,0,0.9,0.8,0.008178966639249774
iemocap4,66,0,0.8,0.6,0.00017068920598584114
iemocap4,66,0,0.6,0.4,-0.003555010928486757
iemocap4,66,0,0.4,0.2,-0.007423502026179696
iemocap4,66,0,0.2,0.0,-0.09209577943497227
iemocap4,66,0.1,1.0,0.95,0.002454900247998215
iemocap4,66,0.1,0.95,0.9,0.0007756237462873683
iemocap4,66,0.1,0.9,0.8,0.003275921607734933
iemocap4,66,0.1,0.8,0.6,0.0017803194493819507
iemocap4,66,0.1,0.6,0.4,-0.00406856922920551
iemocap4,66,0.1,0.4,0.2,-0.006885011193614066
iemocap4,66,0.1,0.2,0.0,-0.10788681975582248
iemocap4,66,0.3,1.0,0.95,0.002345425337097473
iemocap4,66,0.3,0.95,0.9,0.002439823052455159
iemocap4,66,0.3,0.9,0.8,0.007297332690271774
iemocap4,66,0.3,0.8,0.6,0.0007543632529057875
iemocap4,66,0.3,0.6,0.4,0.000787878515690621
iemocap4,66,0.3,0.4,0.2,-0.008111745229368306
iemocap4,66,0.3,0.2,0.0,-0.16304284164837957
iemocap4,66,0.5,1.0,0.95,-9.507886164372703e-05
iemocap4,66,0.5,0.95,0.9,-0.0008099046925390541
iemocap4,66,0.5,0.9,0.8,0.004850269322007605
iemocap4,66,0.5,0.8,0.6,-0.001006142219256878
iemocap4,66,0.5,0.6,0.4,-0.0052851286056652125
iemocap4,66,0.5,0.4,0.2,-0.01823179651186968
iemocap4,66,0.5,0.2,0.0,-0.18375473782254348
iemocap4,66,0.7,1.0,0.95,0.0025016356456091238
iemocap4,66,0.7,0.95,0.9,0.0033819390016317508
iemocap4,66,0.7,0.9,0.8,0.00189875946560214
iemocap4,66,0.7,0.8,0.6,0.0005451495266468598
iemocap4,66,0.7,0.6,0.4,-0.003910783430709275
iemocap4,66,0.7,0.4,0.2,-0.01931864990220744
iemocap4,66,0.7,0.2,0.0,-0.19477857235103302
iemocap4,66,all,1.0,0.95,0.0017504317379890555
iemocap4,66,all,0.95,0.9,0.0005147649082233308
iemocap4,66,all,0.9,0.8,0.0051002499449732674
iemocap4,66,all,0.8,0.6,0.00044887584313269
iemocap4,66,all,0.6,0.4,-0.0032063227356752266
iemocap4,66,all,0.4,0.2,-0.011994140972647838
iemocap4,66,all,0.2,0.0,-0.14831175020255016
iemocap4,67,0,1.0,0.95,0.00012475938018263744
iemocap4,67,0,0.95,0.9,-0.0007267464005994428
iemocap4,67,0,0.9,0.8,0.004026003371478626
iemocap4,67,0,0.8,0.6,0.0010781481948184402
iemocap4,67,0,0.6,0.4,-0.005556602774939745
iemocap4,67,0,0.4,0.2,-0.019055532287217902
iemocap4,67,0,0.2,0.0,-0.08771433341702972
iemocap4,67,0.1,1.0,0.95,0.0023507596001803854
iemocap4,67,0.1,0.95,0.9,-0.0007276582251656283
iemocap4,67,0.1,0.9,0.8,0.00015731286282094636
iemocap4,67,0.1,0.8,0.6,0.00168147542624153
iemocap4,67,0.1,0.6,0.4,-0.003062819808368311
iemocap4,67,0.1,0.4,0.2,-0.015198381714738862
iemocap4,67,0.1,0.2,0.0,-0.10964974878912737
iemocap4,67,0.3,1.0,0.95,-5.98212649494112e-06
iemocap4,67,0.3,0.95,0.9,0.0007806381657124994
iemocap4,67,0.3,0.9,0.8,8.25768071920363e-05
iemocap4,67,0.3,0.8,0.6,-0.0032733734386685143
iemocap4,67,0.3,0.6,0.4,-0.0006721039057442368
iemocap4,67,0.3,0.4,0.2,-0.021048433768267927
iemocap4,67,0.3,0.2,0.0,-0.14086594456092438
iemocap4,67,0.5,1.0,0.95,-1.0884735213712027e-05
iemocap4,67,0.5,0.95,0.9,0.0007899870717250623
iemocap4,67,0.5,0.9,0.8,0.0017735788421505694
iemocap4,67,0.5,0.8,0.6,-0.00029561880053297074
iemocap4,67,0.5,0.6,0.4,0.0010852449006268916
iemocap4,67,0.5,0.4,0.2,-0.0285230474342848
iemocap4,67,0.5,0.2,0.0,-0.160586025795306
iemocap4,67,0.7,1.0,0.95,0.0023766021044484553
iemocap4,67,0.7,0.95,0.9,2.695932975083082e-06
iemocap4,67,0.7,0.9,0.8,0.004199294007114274
iemocap4,67,0.7,0.8,0.6,-0.00393655187459474
iemocap4,67,0.7,0.6,0.4,-0.002560626386515552
iemocap4,67,0.7,0.4,0.2,-0.013769731799163298
iemocap4,67,0.7,0.2,0.0,-0.16703680924619124
iemocap4,67,all,1.0,0.95,0.000967050844620565
iemocap4,67,all,0.95,0.9,2.378330892949254e-05
iemocap4,67,all,0.9,0.8,0.0020477531781513125
iemocap4,67,all,0.8,0.6,-0.0009491840985472733
iemocap4,67,all,0.6,0.4,-0.002153381594988124
iemocap4,67,all,0.4,0.2,-0.01951902540073458
iemocap4,67,all,0.2,0.0,-0.1331705723617157
iemocap4,68,0,1.0,0.95,0.0008188908865170985
iemocap4,68,0,0.95,0.9,0.001610829664351443
iemocap4,68,0,0.9,0.8,0.0015771296011447555
iemocap4,68,0,0.8,0.6,0.0007866138898191544
iemocap4,68,0,0.6,0.4,0.00027292543626300514
iemocap4,68,0,0.4,0.2,-0.01569500850678751
iemocap4,68,0,0.2,0.0,-0.09154095781860727
iemocap4,68,0.1,1.0,0.95,0.0015726563920182013
iemocap4,68,0.1,0.95,0.9,1.584563757695001e-05
iemocap4,68,0.1,0.9,0.8,0.0007316863509405636
iemocap4,68,0.1,0.8,0.6,0.0058969311007915914
iemocap4,68,0.1,0.6,0.4,0.0019342616473030372
iemocap4,68,0.1,0.4,0.2,-0.01829869388810601
iemocap4,68,0.1,0.2,0.0,-0.11373425929525449
iemocap4,68,0.3,1.0,0.95,0.0015206630722391923
iemocap4,68,0.3,0.95,0.9,-0.002342459372727479
iemocap4,68,0.3,0.9,0.8,0.0031239098794919595
iemocap4,68,0.3,0.8,0.6,-2.2693594079914448e-05
iemocap4,68,0.3,0.6,0.4,0.009693334404691445
iemocap4,68,0.3,0.4,0.2,-0.018140363017907668
iemocap4,68,0.3,0.2,0.0,-0.1493675875091388
iemocap4,68,0.5,1.0,0.95,0.002318079304390097
iemocap4,68,0.5,0.95,0.9,0.0038728929944429336
iemocap4,68,0.5,0.9,0.8,0.0007511135598053942
iemocap4,68,0.5,0.8,0.6,-0.0006653599798897014
iemocap4,68,0.5,0.6,0.4,-0.0030853498904637178
