dataset,seed,rate,best_sampled_etas,best_weighted_f1
iemocap4,66,0,0.6,0.8521202655792863
iemocap4,66,0.1,0.6,0.8491078532906181
iemocap4,66,0.3,0.4,0.8294278231888642
iemocap4,66,0.5,0.8,0.8071845260981086
iemocap4,66,0.7,0.6,0.7922393791328087
iemocap4,66,all,0.6,0.8256571653109477
iemocap4,67,0,0.6,0.8462765239691419
iemocap4,67,0.1,0.6,0.8445922652385046
iemocap4,67,0.3,0.8,0.8206449822326101
iemocap4,67,0.5,0.4,0.8061068408041732
iemocap4,67,0.7,0.8,0.7734669927872841
iemocap4,67,all,0.8,0.817507671062112
iemocap4,68,0,0.4,0.855590263471893
iemocap4,68,0.1,0.4,0.8540931523091145
iemocap4,68,0.3,0.4,0.8276290793738672
iemocap4,68,0.5,0.8,0.7873600207794311
iemocap4,68,0.7,0.8,0.7926247294197593
iemocap4,68,all,0.4,0.8214368098614258
iemocap4,69,0,0.4,0.854384968379377
iemocap4,69,0.1,0.4,0.8446118237949671
iemocap4,69,0.3,0.6,0.8261577647382374
iemocap4,69,0.5,0.6,0.8146170549921761
iemocap4,69,0.7,0.4,0.7783894890259779
iemocap4,69,all,0.6,0.8221446477219366
iemocap4,70,0,0.6,0.8511137365908906
iemocap4,70,0.1,0.6,0.8477165748508982
iemocap4,70,0.3,0.6,0.8368222090350765
iemocap4,70,0.5,0.6,0.8243616354708637
iemocap4,70,0.7,0.6,0.8076764427538276
iemocap4,70,all,0.6,0.8335381197403113
mosi,66,0,0,0.8652454428927449
mosi,66,0.1,0.8;0.6,0.8475774885721434
mosi,66,0.3,0.4,0.7994637224925797
mosi,66,0.5,0.6,0.753986633400657
mosi,66,0.7,0.6,0.7526665614947892
mosi,66,all,0.6,0.8028083073249885
mosi,67,0,1;0.95,0.8778600303677971
mosi,67,0.1,0.4;0.2,0.8625162091935956
mosi,67,0.3,0.4,0.8034543920211195
mosi,67,0.5,0.95,0.7640247889919275
mosi,67,0.7,0.95;0.9,0.7492397436862369
mosi,67,all,0.6,0.8093098419916668
mosi,68,0,0.2,0.8762992480177516
mosi,68,0.1,0.6,0.8498339566312265
mosi,68,0.3,0.4,0.8223689929040726
mosi,68,0.5,0.4,0.7920033615920574
mosi,68,0.7,0.4,0.6946500759194927
mosi,68,all,0.4,0.8058795478513545
mosi,69,0,1;0.95;0.9,0.8644587812093748
mosi,69,0.1,0.2,0.8315568036159311
mosi,69,0.3,0.6,0.8089958333856033
mosi,69,0.5,1,0.7786811080140539
mosi,69,0.7,0.8,0.7471869874641247
mosi,69,all,1,0.8041585684439178
mosi,70,0,0,0.8795436182763862
mosi,70,0.1,1;0.95,0.8578929000388889
mosi,70,0.3,0.8;0.2,0.7974897028955892
mosi,70,0.5,0.8,0.7441893654023944
mosi,70,0.7,0.4,0.74160915862339
mosi,70,all,0.95,0.7999576244831293
