dataset,seed,rate,peak_eta,neighbor_eta,neighbor_direction,peak_minus_neighbor
iemocap4,66,0,0.6,0.4,lower,0.003555010928486757
iemocap4,67,0,0.6,0.4,lower,0.005556602774939745
iemocap4,68,0,0.6,0.4,lower,-0.00027292543626300514
iemocap4,69,0,0.6,0.4,lower,-0.00017708688653961246
iemocap4,70,0,0.6,0.4,lower,0.005585951894778174
iemocap4,66,0,0.6,0.8,higher,0.00017068920598584114
iemocap4,67,0,0.6,0.8,higher,0.0010781481948184402
iemocap4,68,0,0.6,0.8,higher,0.0007866138898191544
iemocap4,69,0,0.6,0.8,higher,0.00578764639312046
iemocap4,70,0,0.6,0.8,higher,0.00252898871110796
iemocap4,66,0.1,0.6,0.4,lower,0.00406856922920551
iemocap4,67,0.1,0.6,0.4,lower,0.003062819808368311
iemocap4,68,0.1,0.6,0.4,lower,-0.0019342616473030372
iemocap4,69,0.1,0.6,0.4,lower,-0.005614974426762509
iemocap4,70,0.1,0.6,0.4,lower,0.004689430647136339
iemocap4,66,0.1,0.6,0.8,higher,0.0017803194493819507
iemocap4,67,0.1,0.6,0.8,higher,0.00168147542624153
iemocap4,68,0.1,0.6,0.8,higher,0.0058969311007915914
iemocap4,69,0.1,0.6,0.8,higher,0.0001800582853751509
iemocap4,70,0.1,0.6,0.8,higher,0.005919609766261935
iemocap4,66,0.3,0.4,0.2,lower,0.008111745229368306
iemocap4,67,0.3,0.4,0.2,lower,0.021048433768267927
iemocap4,68,0.3,0.4,0.2,lower,0.018140363017907668
iemocap4,69,0.3,0.4,0.2,lower,0.002853104369221149
iemocap4,70,0.3,0.4,0.2,lower,0.010334511625551324
iemocap4,66,0.3,0.4,0.6,higher,0.000787878515690621
iemocap4,67,0.3,0.4,0.6,higher,-0.0006721039057442368
iemocap4,68,0.3,0.4,0.6,higher,0.009693334404691445
iemocap4,69,0.3,0.4,0.6,higher,-0.003941712606971848
iemocap4,70,0.3,0.4,0.6,higher,-0.004611989812740913
iemocap4,66,0.5,0.6,0.4,lower,0.0052851286056652125
iemocap4,67,0.5,0.6,0.4,lower,-0.0010852449006268916
iemocap4,68,0.5,0.6,0.4,lower,0.0030853498904637178
iemocap4,69,0.5,0.6,0.4,lower,0.006510536304108028
iemocap4,70,0.5,0.6,0.4,lower,0.006272406283770571
iemocap4,66,0.5,0.6,0.8,higher,-0.001006142219256878
iemocap4,67,0.5,0.6,0.8,higher,-0.00029561880053297074
iemocap4,68,0.5,0.6,0.8,higher,-0.0006653599798897014
iemocap4,69,0.5,0.6,0.8,higher,0.005426071759770057
iemocap4,70,0.5,0.6,0.8,higher,0.006788835433623297
iemocap4,66,0.7,0.6,0.4,lower,0.003910783430709275
iemocap4,67,0.7,0.6,0.4,lower,0.002560626386515552
iemocap4,68,0.7,0.6,0.4,lower,0.0016444392461282265
iemocap4,69,0.7,0.6,0.4,lower,-0.0016458010077502472
iemocap4,70,0.7,0.6,0.4,lower,0.005948439747973988
iemocap4,66,0.7,0.6,0.8,higher,0.0005451495266468598
iemocap4,67,0.7,0.6,0.8,higher,-0.00393655187459474
iemocap4,68,0.7,0.6,0.8,higher,-0.004718046930454856
iemocap4,69,0.7,0.6,0.8,higher,0.01256896365488025
iemocap4,70,0.7,0.6,0.8,higher,0.007086653691617539
iemocap4,66,all,0.6,0.4,lower,0.0032063227356752266
iemocap4,67,all,0.6,0.4,lower,0.002153381594988124
iemocap4,68,all,0.6,0.4,lower,-0.0014341464703331308
iemocap4,69,all,0.6,0.4,lower,0.000602877318005457
iemocap4,70,all,0.6,0.4,lower,0.005421643677280041
iemocap4,66,all,0.6,0.8,higher,0.00044887584313269
iemocap4,67,all,0.6,0.8,higher,-0.0009491840985472733
iemocap4,68,all,0.6,0.8,higher,0.0002554888972372549
iemocap4,69,all,0.6,0.8,higher,0.00516021512440723
iemocap4,70,all,0.6,0.8,higher,0.004793995307361354
mosi,66,0,0.2,0.0,lower,-0.00027367952560275466
mosi,67,0,0.2,0.0,lower,-0.00011750443316838055
mosi,68,0,0.2,0.0,lower,0.013195180849534083
mosi,69,0,0.2,0.0,lower,0.0054150807526033296
mosi,70,0,0.2,0.0,lower,-0.008257369735334752
mosi,66,0,0.2,0.4,higher,9.686885262250033e-05
mosi,67,0,0.2,0.4,higher,0.001620551090199318
mosi,68,0,0.2,0.4,higher,0.002985234464879527
mosi,69,0,0.2,0.4,higher,0.00011420526410998999
mosi,70,0,0.2,0.4,higher,0.0015760233202265495
mosi,66,0.1,0.2,0.0,lower,0.006813832088357286
mosi,67,0.1,0.2,0.0,lower,0.010148670434932283
mosi,68,0.1,0.2,0.0,lower,0.014255762183570053
mosi,69,0.1,0.2,0.0,lower,0.01283112839444367
mosi,70,0.1,0.2,0.0,lower,0.006753588543074396
