dataset,seed,rate,mode,inherited,source_metadata,checkpoint,checkpoint_sha256,mask_sha256
iemocap4,66,0,reference,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,a45f9d09035aa3da036bdda925729a3bbf6c031ff6fcc34caa98a066a2f8f47c
iemocap4,66,0,fixed0.95,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,a45f9d09035aa3da036bdda925729a3bbf6c031ff6fcc34caa98a066a2f8f47c
iemocap4,66,0,fixed0.9,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,a45f9d09035aa3da036bdda925729a3bbf6c031ff6fcc34caa98a066a2f8f47c
iemocap4,66,0,fixed0.8,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,a45f9d09035aa3da036bdda925729a3bbf6c031ff6fcc34caa98a066a2f8f47c
iemocap4,66,0.1,reference,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,83ad7e3157dc1cdef2fd2818153c733fad55dcd0c82fc6e1244bd0c49eb5121d
iemocap4,66,0.1,fixed0.95,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,83ad7e3157dc1cdef2fd2818153c733fad55dcd0c82fc6e1244bd0c49eb5121d
iemocap4,66,0.1,fixed0.9,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,83ad7e3157dc1cdef2fd2818153c733fad55dcd0c82fc6e1244bd0c49eb5121d
iemocap4,66,0.1,fixed0.8,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,83ad7e3157dc1cdef2fd2818153c733fad55dcd0c82fc6e1244bd0c49eb5121d
iemocap4,66,0.3,reference,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_intervention_20260909/full5/iemocap4_seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,4dd5f6911b6072900e7510168a9e1651f8f0d92894594bd9c3218f45250e1001
iemocap4,66,0.3,fixed0.95,True,/data2/yb/paper/GCNet_TPAMI/.worktrees/missing-m3-target-ple/experiments/osram_write_step_grid_20260909/iemocap4/seed66/metadata.json,/data2/yb/remote_experiments/osram_forward_only_iemocap_20260908/iemocap4/seed_66/best.pt,79aef3dab7d61aa41dabe5bd9f5cf8044f8c5fbf9c556684986e485f5a7be461,4dd5f6911b6072900e7510168a9e1651f8f0d92894594bd9c3218f45250e1001
