dataset,rate,mode,section,modality,metric,n_seeds,mean,sample_std
iemocap4,0,fixed0.0,current_observed_write_fit,audio,err_after,5,1.0,0.0
iemocap4,0,fixed0.0,current_observed_write_fit,text,err_after,5,1.0,0.0
iemocap4,0,fixed0.0,current_observed_write_fit,visual,err_after,5,1.0,0.0
iemocap4,0,fixed0.0,task,,accuracy,5,0.7448831587429493,0.015156786487737613
iemocap4,0,fixed0.0,task,,macro_f1,5,0.7346091283719758,0.014487283341781086
iemocap4,0,fixed0.0,task,,weighted_f1,5,0.744459841412932,0.014620658336119603
iemocap4,0,fixed0.2,current_observed_write_fit,audio,err_after,5,0.5185621189535877,0.02693360435438071
iemocap4,0,fixed0.2,current_observed_write_fit,text,err_after,5,0.7196429870812572,0.01270174656364288
iemocap4,0,fixed0.2,current_observed_write_fit,visual,err_after,5,0.5284356119558455,0.017654081867570733
iemocap4,0,fixed0.2,task,,accuracy,5,0.8377115229653506,0.01069927560254615
iemocap4,0,fixed0.2,task,,macro_f1,5,0.8353862343349646,0.008762162897029108
iemocap4,0,fixed0.2,task,,weighted_f1,5,0.8379422406571433,0.010278341175576074
iemocap4,0,fixed0.4,current_observed_write_fit,audio,err_after,5,0.37786501754731194,0.021527047254483515
iemocap4,0,fixed0.4,current_observed_write_fit,text,err_after,5,0.5508597264650198,0.011153655438361988
iemocap4,0,fixed0.4,current_observed_write_fit,visual,err_after,5,0.3719066881029105,0.015492046656989165
iemocap4,0,fixed0.4,task,,accuracy,5,0.8488315874294924,0.006283187329449748
iemocap4,0,fixed0.4,task,,macro_f1,5,0.8467879817623777,0.005415258333002814
iemocap4,0,fixed0.4,task,,weighted_f1,5,0.8489576384784768,0.006189213848477749
iemocap4,0,fixed0.6,current_observed_write_fit,audio,err_after,5,0.25745481871913495,0.015177443835681061
iemocap4,0,fixed0.6,current_observed_write_fit,text,err_after,5,0.3830391230375343,0.008346602583783109
iemocap4,0,fixed0.6,current_observed_write_fit,visual,err_after,5,0.24771136373400052,0.011785734830519553
iemocap4,0,fixed0.6,task,,accuracy,5,0.8517324738114423,0.0038222534168030056
iemocap4,0,fixed0.6,task,,macro_f1,5,0.8498460935023077,0.0026613563343162202
iemocap4,0,fixed0.6,task,,weighted_f1,5,0.8518071491335573,0.0035089749059129764
iemocap4,0,fixed0.8,current_observed_write_fit,audio,err_after,5,0.13554215481786033,0.008143085800598322
iemocap4,0,fixed0.8,current_observed_write_fit,text,err_after,5,0.20370595968918653,0.004594379116257259
iemocap4,0,fixed0.8,current_observed_write_fit,visual,err_after,5,0.1287431078400886,0.006690308606864353
iemocap4,0,fixed0.8,task,,accuracy,5,0.849798549556809,0.0037623263593646017
iemocap4,0,fixed0.8,task,,macro_f1,5,0.8469221329355962,0.004761460817039343
iemocap4,0,fixed0.8,task,,weighted_f1,5,0.8497367318545869,0.0035894271704329387
iemocap4,0,fixed0.9,current_observed_write_fit,audio,err_after,5,0.070710715922818,0.004269317830707254
iemocap4,0,fixed0.9,current_observed_write_fit,text,err_after,5,0.10654878981817081,0.0024223505161955843
iemocap4,0,fixed0.9,current_observed_write_fit,visual,err_after,5,0.06693815583053891,0.0035842603934910996
iemocap4,0,fixed0.9,task,,accuracy,5,0.8448025785656729,0.0045796203830403654
iemocap4,0,fixed0.9,task,,macro_f1,5,0.8416671782889392,0.006647666751659232
iemocap4,0,fixed0.9,task,,weighted_f1,5,0.8447139265169631,0.00470038108088801
iemocap4,0,fixed0.95,current_observed_write_fit,audio,err_after,5,0.03677191198480083,0.002221301552869803
iemocap4,0,fixed0.95,current_observed_write_fit,text,err_after,5,0.05548049445498631,0.0012609970525354643
iemocap4,0,fixed0.95,current_observed_write_fit,visual,err_after,5,0.034783695105215,0.0018810827052267822
