audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.4957 val8_wf1=0.2544 cls=2.4361 jepa=3.0327
epoch=002 train_wf1=0.4649 val8_wf1=0.4182 cls=2.3340 jepa=2.8014
epoch=003 train_wf1=0.3942 val8_wf1=0.4454 cls=2.2390 jepa=2.6461
epoch=004 train_wf1=0.6537 val8_wf1=0.4192 cls=1.9917 jepa=2.5697
epoch=005 train_wf1=0.5188 val8_wf1=0.4980 cls=2.4145 jepa=2.5335
epoch=006 train_wf1=0.6450 val8_wf1=0.4732 cls=2.1557 jepa=2.5276
epoch=007 train_wf1=0.6654 val8_wf1=0.5320 cls=1.7393 jepa=2.5275
epoch=008 train_wf1=0.7043 val8_wf1=0.5145 cls=1.7061 jepa=2.5049
epoch=009 train_wf1=0.6304 val8_wf1=0.6544 cls=1.7861 jepa=2.4874
epoch=010 train_wf1=0.7102 val8_wf1=0.5099 cls=1.7457 jepa=2.4658
epoch=011 train_wf1=0.7229 val8_wf1=0.5101 cls=1.6101 jepa=2.4481
epoch=012 train_wf1=0.6612 val8_wf1=0.6676 cls=1.7781 jepa=2.4192
epoch=013 train_wf1=0.7325 val8_wf1=0.3878 cls=1.5751 jepa=2.4012
epoch=014 train_wf1=0.6349 val8_wf1=0.7209 cls=1.8581 jepa=2.4020
epoch=015 train_wf1=0.7317 val8_wf1=0.4598 cls=1.5658 jepa=2.4038
epoch=016 train_wf1=0.5765 val8_wf1=0.6062 cls=2.1174 jepa=2.3989
epoch=017 train_wf1=0.7555 val8_wf1=0.6328 cls=1.2817 jepa=2.3776
epoch=018 train_wf1=0.7388 val8_wf1=0.7194 cls=1.5198 jepa=2.3886
epoch=019 train_wf1=0.7901 val8_wf1=0.6019 cls=1.2750 jepa=2.3786
epoch=020 train_wf1=0.7386 val8_wf1=0.7353 cls=1.2963 jepa=2.3710
epoch=021 train_wf1=0.8127 val8_wf1=0.7474 cls=1.0408 jepa=2.3788
epoch=022 train_wf1=0.8154 val8_wf1=0.7378 cls=1.0142 jepa=2.3580
epoch=023 train_wf1=0.8224 val8_wf1=0.7181 cls=0.9682 jepa=2.3646
epoch=024 train_wf1=0.8202 val8_wf1=0.7592 cls=0.9972 jepa=2.3456
epoch=025 train_wf1=0.8459 val8_wf1=0.7417 cls=0.8613 jepa=2.3423
epoch=026 train_wf1=0.8545 val8_wf1=0.7346 cls=0.8502 jepa=2.3365
epoch=027 train_wf1=0.8503 val8_wf1=0.7333 cls=0.8570 jepa=2.3085
epoch=028 train_wf1=0.8545 val8_wf1=0.7154 cls=0.7715 jepa=2.3097
epoch=029 train_wf1=0.8642 val8_wf1=0.7205 cls=0.7599 jepa=2.2987
epoch=030 train_wf1=0.8672 val8_wf1=0.7207 cls=0.7498 jepa=2.2836
epoch=031 train_wf1=0.8744 val8_wf1=0.7423 cls=0.7012 jepa=2.2680
epoch=032 train_wf1=0.8679 val8_wf1=0.7262 cls=0.7207 jepa=2.2331
epoch=033 train_wf1=0.8789 val8_wf1=0.7311 cls=0.6526 jepa=2.2277
epoch=034 train_wf1=0.8902 val8_wf1=0.7100 cls=0.6359 jepa=2.2136
epoch=035 train_wf1=0.8848 val8_wf1=0.7177 cls=0.6136 jepa=2.2031
epoch=036 train_wf1=0.8884 val8_wf1=0.7169 cls=0.5824 jepa=2.1607
epoch=037 train_wf1=0.8947 val8_wf1=0.7286 cls=0.5609 jepa=2.1523
epoch=038 train_wf1=0.9009 val8_wf1=0.7385 cls=0.5666 jepa=2.1387
epoch=039 train_wf1=0.8981 val8_wf1=0.7257 cls=0.5509 jepa=2.0896
epoch=040 train_wf1=0.8948 val8_wf1=0.7179 cls=0.5331 jepa=2.0759
epoch=041 train_wf1=0.9076 val8_wf1=0.7143 cls=0.5046 jepa=2.0786
epoch=042 train_wf1=0.9048 val8_wf1=0.7041 cls=0.5140 jepa=2.0444
epoch=043 train_wf1=0.9065 val8_wf1=0.7305 cls=0.4941 jepa=1.9995
epoch=044 train_wf1=0.8916 val8_wf1=0.7282 cls=0.5712 jepa=1.9935
epoch=045 train_wf1=0.9131 val8_wf1=0.7019 cls=0.4668 jepa=1.9776
epoch=046 train_wf1=0.9172 val8_wf1=0.7089 cls=0.4604 jepa=1.9438
epoch=047 train_wf1=0.9183 val8_wf1=0.7013 cls=0.4177 jepa=1.9169
epoch=048 train_wf1=0.9233 val8_wf1=0.7022 cls=0.3980 jepa=1.8726
epoch=049 train_wf1=0.9235 val8_wf1=0.7223 cls=0.3949 jepa=1.8786
epoch=050 train_wf1=0.9295 val8_wf1=0.7075 cls=0.3649 jepa=1.8334
epoch=051 train_wf1=0.9258 val8_wf1=0.7144 cls=0.3585 jepa=1.8242
epoch=052 train_wf1=0.9273 val8_wf1=0.7000 cls=0.3560 jepa=1.8110
epoch=053 train_wf1=0.9271 val8_wf1=0.6793 cls=0.3550 jepa=1.7962
epoch=054 train_wf1=0.9213 val8_wf1=0.7245 cls=0.3820 jepa=1.7585
epoch=055 train_wf1=0.9317 val8_wf1=0.7053 cls=0.3323 jepa=1.7552
epoch=056 train_wf1=0.9238 val8_wf1=0.7150 cls=0.3480 jepa=1.7074
epoch=057 train_wf1=0.9380 val8_wf1=0.7122 cls=0.2996 jepa=1.7038
epoch=058 train_wf1=0.9390 val8_wf1=0.7116 cls=0.2737 jepa=1.6816
epoch=059 train_wf1=0.9393 val8_wf1=0.7146 cls=0.2634 jepa=1.6329
epoch=060 train_wf1=0.9387 val8_wf1=0.7103 cls=0.2572 jepa=1.6378
epoch=061 train_wf1=0.9423 val8_wf1=0.7106 cls=0.2458 jepa=1.6246
epoch=062 train_wf1=0.9423 val8_wf1=0.7148 cls=0.2408 jepa=1.5912
epoch=063 train_wf1=0.9488 val8_wf1=0.6885 cls=0.2280 jepa=1.5654
epoch=064 train_wf1=0.9446 val8_wf1=0.7004 cls=0.2568 jepa=1.5755
epoch=065 train_wf1=0.9458 val8_wf1=0.7025 cls=0.2487 jepa=1.5473
epoch=066 train_wf1=0.9508 val8_wf1=0.6940 cls=0.2334 jepa=1.5080
epoch=067 train_wf1=0.9489 val8_wf1=0.7034 cls=0.2208 jepa=1.4923
epoch=068 train_wf1=0.9518 val8_wf1=0.6878 cls=0.2164 jepa=1.4794
epoch=069 train_wf1=0.9493 val8_wf1=0.7098 cls=0.2394 jepa=1.4665
epoch=070 train_wf1=0.9390 val8_wf1=0.7034 cls=0.2639 jepa=1.4429
epoch=071 train_wf1=0.9524 val8_wf1=0.6986 cls=0.1948 jepa=1.4379
epoch=072 train_wf1=0.9521 val8_wf1=0.7103 cls=0.2143 jepa=1.4158
epoch=073 train_wf1=0.9537 val8_wf1=0.7168 cls=0.1992 jepa=1.3749
epoch=074 train_wf1=0.9499 val8_wf1=0.7144 cls=0.2150 jepa=1.3732
epoch=075 train_wf1=0.9556 val8_wf1=0.7058 cls=0.1881 jepa=1.3686
epoch=076 train_wf1=0.9531 val8_wf1=0.7010 cls=0.1917 jepa=1.3549
epoch=077 train_wf1=0.9567 val8_wf1=0.7087 cls=0.1783 jepa=1.3192
epoch=078 train_wf1=0.9621 val8_wf1=0.7080 cls=0.1675 jepa=1.3147
epoch=079 train_wf1=0.9602 val8_wf1=0.7161 cls=0.1583 jepa=1.2817
