audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.4801 val8_wf1=0.2544 cls=3.3275 jepa=3.0005
epoch=002 train_wf1=0.4331 val8_wf1=0.4187 cls=2.6878 jepa=2.9045
epoch=003 train_wf1=0.3956 val8_wf1=0.4187 cls=2.3005 jepa=2.6116
epoch=004 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2532 jepa=2.5201
epoch=005 train_wf1=0.4166 val8_wf1=0.4187 cls=2.2466 jepa=2.4846
epoch=006 train_wf1=0.3924 val8_wf1=0.4187 cls=2.2524 jepa=2.4515
epoch=007 train_wf1=0.3922 val8_wf1=0.4306 cls=2.2599 jepa=2.4229
epoch=008 train_wf1=0.5467 val8_wf1=0.5572 cls=2.0429 jepa=2.4060
epoch=009 train_wf1=0.6839 val8_wf1=0.6135 cls=1.6946 jepa=2.3834
epoch=010 train_wf1=0.7534 val8_wf1=0.6653 cls=1.4224 jepa=2.3612
epoch=011 train_wf1=0.7345 val8_wf1=0.6925 cls=1.8247 jepa=2.3783
epoch=012 train_wf1=0.7654 val8_wf1=0.7276 cls=1.4042 jepa=2.3525
epoch=013 train_wf1=0.7740 val8_wf1=0.6688 cls=1.3411 jepa=2.3487
epoch=014 train_wf1=0.7497 val8_wf1=0.7288 cls=1.4996 jepa=2.3382
epoch=015 train_wf1=0.7845 val8_wf1=0.7541 cls=1.2512 jepa=2.3434
epoch=016 train_wf1=0.7997 val8_wf1=0.7465 cls=1.1116 jepa=2.3443
epoch=017 train_wf1=0.8054 val8_wf1=0.7661 cls=1.1236 jepa=2.3355
epoch=018 train_wf1=0.7898 val8_wf1=0.7332 cls=1.1687 jepa=2.3250
epoch=019 train_wf1=0.8028 val8_wf1=0.7609 cls=1.0723 jepa=2.3198
epoch=020 train_wf1=0.8111 val8_wf1=0.7550 cls=1.0603 jepa=2.3208
epoch=021 train_wf1=0.8198 val8_wf1=0.7517 cls=0.9983 jepa=2.3049
epoch=022 train_wf1=0.8149 val8_wf1=0.7548 cls=1.0882 jepa=2.2866
epoch=023 train_wf1=0.8136 val8_wf1=0.7454 cls=1.0381 jepa=2.2919
epoch=024 train_wf1=0.8163 val8_wf1=0.7493 cls=0.9810 jepa=2.2723
epoch=025 train_wf1=0.8130 val8_wf1=0.7564 cls=1.0738 jepa=2.2597
epoch=026 train_wf1=0.8277 val8_wf1=0.7240 cls=1.0566 jepa=2.2598
epoch=027 train_wf1=0.8056 val8_wf1=0.7550 cls=1.0356 jepa=2.2394
epoch=028 train_wf1=0.8138 val8_wf1=0.7526 cls=1.0868 jepa=2.2306
epoch=029 train_wf1=0.8289 val8_wf1=0.7293 cls=0.9519 jepa=2.2253
epoch=030 train_wf1=0.8265 val8_wf1=0.7625 cls=0.9979 jepa=2.2263
epoch=031 train_wf1=0.8326 val8_wf1=0.7596 cls=0.9611 jepa=2.2112
epoch=032 train_wf1=0.8373 val8_wf1=0.6789 cls=0.9558 jepa=2.2226
epoch=033 train_wf1=0.7993 val8_wf1=0.7375 cls=1.0890 jepa=2.2051
epoch=034 train_wf1=0.8455 val8_wf1=0.7379 cls=0.9062 jepa=2.1712
epoch=035 train_wf1=0.8352 val8_wf1=0.7241 cls=0.8927 jepa=2.1734
epoch=036 train_wf1=0.8244 val8_wf1=0.7169 cls=0.9841 jepa=2.1811
epoch=037 train_wf1=0.8343 val8_wf1=0.7147 cls=0.9069 jepa=2.1541
